benchmark,base_result,machine,limits,class,lower_is_better,repetition,result,normalized
stressng-cpu-all,0.559459,issdm-6,without,cpu,False,1,73.24508900000001,130.92128109477193
stressng-cpu-all,0.559459,issdm-6,with,cpu,False,1,5.229076,9.346665260546349
stressng-cpu-ackermann,1.3525260000000001,issdm-6,without,cpu,False,1,7.410952,5.479341617092758
stressng-cpu-ackermann,1.3525260000000001,issdm-6,with,cpu,False,1,0.535738,-2.5246034442208694
stressng-cpu-bitops,535.4925360000001,issdm-6,without,cpu,False,1,1291.771327,2.412305009233592
stressng-cpu-bitops,535.4925360000001,issdm-6,with,cpu,False,1,93.397542,-5.733475683974639
stressng-cpu-callfunc,28577.307285000003,issdm-6,without,cpu,False,1,176485.829385,6.175733340615894
stressng-cpu-callfunc,28577.307285000003,issdm-6,with,cpu,False,1,12852.729928,-2.223442602862417
stressng-cpu-cdouble,41.011984000000005,issdm-6,without,cpu,False,1,2326.4021079999998,56.72493454596099
stressng-cpu-cdouble,41.011984000000005,issdm-6,with,cpu,False,1,165.36463700000002,4.032105274399795
stressng-cpu-cfloat,40.065554999999996,issdm-6,without,cpu,False,1,1611.596311,40.22398569045156
stressng-cpu-cfloat,40.065554999999996,issdm-6,with,cpu,False,1,116.697852,2.9126727933757564
stressng-cpu-clongdouble,35.337298,issdm-6,without,cpu,False,1,1016.167681,28.75623600310358
stressng-cpu-clongdouble,35.337298,issdm-6,with,cpu,False,1,73.697906,2.0855557773545677
stressng-cpu-correlate,0.083885,issdm-6,without,cpu,False,1,18.78448,223.9313345651785
stressng-cpu-correlate,0.083885,issdm-6,with,cpu,False,1,1.358844,16.19889133933361
stressng-cpu-crc16,44.11411,issdm-6,without,cpu,False,1,95.509027,2.165044857529711
stressng-cpu-crc16,44.11411,issdm-6,with,cpu,False,1,6.927486,-6.367982555287733
stressng-cpu-decimal32,44.11411,issdm-6,without,cpu,False,1,681.490381,15.44835384868923
stressng-cpu-decimal32,44.11411,issdm-6,with,cpu,False,1,49.695124,1.1265131269791004
