machine,limits,benchmark,class,lower_is_better,repetition,result
"issdm-6","without","stressng-cpu-all","cpu",false,"1",73.245089
"issdm-6","without","stressng-cpu-ackermann","cpu",false,"1",7.410952
"issdm-6","without","stressng-cpu-bitops","cpu",false,"1",1291.771327
"issdm-6","without","stressng-cpu-callfunc","cpu",false,"1",176485.829385
"issdm-6","without","stressng-cpu-cdouble","cpu",false,"1",2326.402108
"issdm-6","without","stressng-cpu-cfloat","cpu",false,"1",1611.596311
"issdm-6","without","stressng-cpu-clongdouble","cpu",false,"1",1016.167681
"issdm-6","without","stressng-cpu-correlate","cpu",false,"1",18.78448
"issdm-6","without","stressng-cpu-crc16","cpu",false,"1",95.509027
"issdm-6","without","stressng-cpu-decimal32","cpu",false,"1",681.490381
"issdm-6","without","stressng-cpu-decimal64","cpu",false,"1",855.030057
"issdm-6","without","stressng-cpu-decimal128","cpu",false,"1",137.404986
"issdm-6","without","stressng-cpu-dither","cpu",false,"1",96.582209
"issdm-6","without","stressng-cpu-djb2a","cpu",false,"1",55305.486558
"issdm-6","without","stressng-cpu-double","cpu",false,"1",3629.653529
"issdm-6","without","stressng-cpu-euler","cpu",false,"1",3668571.08512
"issdm-6","without","stressng-cpu-explog","cpu",false,"1",73.811412
"issdm-6","without","stressng-cpu-fft","cpu",false,"1",157.630548
"issdm-6","without","stressng-cpu-fibonacci","cpu",false,"1",9502094.13843
"issdm-6","without","stressng-cpu-float","cpu",false,"1",15379.021366
"issdm-6","without","stressng-cpu-fnv1a","cpu",false,"1",56616.992697
"issdm-6","without","stressng-cpu-gamma","cpu",false,"1",122.810914
"issdm-6","without","stressng-cpu-gcd","cpu",false,"1",630.700947
"issdm-6","without","stressng-cpu-gray","cpu",false,"1",3658.744346
"issdm-6","without","stressng-cpu-hamming","cpu",false,"1",285.920311
"issdm-6","without","stressng-cpu-hanoi","cpu",false,"1",84.652847
"issdm-6","without","stressng-cpu-hyperbolic","cpu",false,"1",501.283352
"issdm-6","without","stressng-cpu-idct","cpu",false,"1",11530.764605
"issdm-6","without","stressng-cpu-int128","cpu",false,"1",2922.338339
"issdm-6","without","stressng-cpu-int64","cpu",false,"1",28223.265121
"issdm-6","without","stressng-cpu-int32","cpu",false,"1",33379.490478
"issdm-6","without","stressng-cpu-int16","cpu",false,"1",37783.7243
"issdm-6","without","stressng-cpu-int8","cpu",false,"1",33375.096805
"issdm-6","without","stressng-cpu-int128float","cpu",false,"1",2565.404404
"issdm-6","without","stressng-cpu-int128double","cpu",false,"1",1684.353698
"issdm-6","without","stressng-cpu-int128longdouble","cpu",false,"1",400.182072
"issdm-6","without","stressng-cpu-int128decimal32","cpu",false,"1",556.422871
"issdm-6","without","stressng-cpu-int128decimal64","cpu",false,"1",629.756233
"issdm-6","without","stressng-cpu-int128decimal128","cpu",false,"1",130.740071
"issdm-6","without","stressng-cpu-int64float","cpu",false,"1",10035.811007
"issdm-6","without","stressng-cpu-int64double","cpu",false,"1",3402.157496
"issdm-6","without","stressng-cpu-int64longdouble","cpu",false,"1",456.623749
"issdm-6","without","stressng-cpu-int32float","cpu",false,"1",11751.475087
"issdm-6","without","stressng-cpu-int32double","cpu",false,"1",3409.558054
"issdm-6","without","stressng-cpu-int32longdouble","cpu",false,"1",464.964947
"issdm-6","without","stressng-cpu-jenkin","cpu",false,"1",17101.863912
"issdm-6","without","stressng-cpu-jmp","cpu",false,"1",21448.326819
"issdm-6","without","stressng-cpu-ln2","cpu",false,"1",14810.250141
"issdm-6","without","stressng-cpu-longdouble","cpu",false,"1",468.76817
"issdm-6","without","stressng-cpu-loop","cpu",false,"1",13615.852914
"issdm-6","without","stressng-cpu-matrixprod","cpu",false,"1",50.364967
"issdm-6","without","stressng-cpu-nsqrt","cpu",false,"1",92.667529
"issdm-6","without","stressng-cpu-omega","cpu",false,"1",1753961.24342
"issdm-6","without","stressng-cpu-parity","cpu",false,"1",10832.793237
"issdm-6","without","stressng-cpu-phi","cpu",false,"1",7134337.27016
"issdm-6","without","stressng-cpu-pi","cpu",false,"1",518899.09501
"issdm-6","without","stressng-cpu-pjw","cpu",false,"1",29052.320959
"issdm-6","without","stressng-cpu-prime","cpu",false,"1",2.159461
"issdm-6","without","stressng-cpu-psi","cpu",false,"1",896972.416543
"issdm-6","without","stressng-cpu-queens","cpu",false,"1",57.011416
"issdm-6","without","stressng-cpu-rand","cpu",false,"1",12234.213758
"issdm-6","without","stressng-cpu-rand48","cpu",false,"1",1474.156805
"issdm-6","without","stressng-cpu-rgb","cpu",false,"1",31819.289797
"issdm-6","without","stressng-cpu-sdbm","cpu",false,"1",54911.217128
"issdm-6","without","stressng-cpu-sieve","cpu",false,"1",8.64834
"issdm-6","without","stressng-cpu-sqrt","cpu",false,"1",4041.08786
"issdm-6","without","stressng-cpu-trig","cpu",false,"1",308.050777
"issdm-6","without","stressng-cpu-union","cpu",false,"1",17275.286082
"issdm-6","without","stressng-cpu-zeta","cpu",false,"1",263.33114
"issdm-6","without","stressng-matrix-add","matrix",false,"1",25845.599477
"issdm-6","without","stressng-matrix-copy","matrix",false,"1",51119.064353
"issdm-6","without","stressng-matrix-div","matrix",false,"1",15787.637388
"issdm-6","without","stressng-matrix-frobenius","matrix",false,"1",23812.033334
"issdm-6","without","stressng-matrix-hadamard","matrix",false,"1",28080.369804
"issdm-6","without","stressng-matrix-mean","matrix",false,"1",23994.740273
"issdm-6","without","stressng-matrix-mult","matrix",false,"1",46106.064985
"issdm-6","without","stressng-matrix-prod","matrix",false,"1",198.602064
