benchmark,base_result,machine,limits,class,lower_is_better,repetition,result,normalized
stressng-cpu-int64double,2.651071,issdm-6,with,cpu,False,1,33.66363,12.69812464471906
stressng-cpu-int32double,2.672973,issdm-6,with,cpu,False,1,33.66383,12.594152653244159
stressng-cpu-sqrt,5.177912,issdm-6,with,cpu,False,1,38.899787,7.512639650886303
stressng-cpu-gamma,0.197453,issdm-6,with,cpu,False,1,1.249729,6.329247972935332
stressng-cpu-nsqrt,0.171731,issdm-6,with,cpu,False,1,0.925937,5.391787155493184
stressng-cpu-euler,8487.934437,issdm-6,with,cpu,False,1,36535.41097300001,4.304393635951929
stressng-cpu-matrixprod,0.12742699999999998,issdm-6,with,cpu,False,1,0.512677,4.023299614681348
stressng-cpu-omega,4286.82895,issdm-6,with,cpu,False,1,16282.552953,3.7982744688238617
stressng-cpu-pi,1383.92681,issdm-6,with,cpu,False,1,5230.250129,3.7792823227407526
stressng-cpu-int32float,41.627011,issdm-6,with,cpu,False,1,115.3003,2.7698433596397303
stressng-cpu-hyperbolic,1.811796,issdm-6,with,cpu,False,1,4.999666,2.759508244857589
stressng-cpu-psi,3390.279704,issdm-6,with,cpu,False,1,8857.499620999999,2.6126161834227233
stressng-cpu-int128decimal64,2.650698,issdm-6,with,cpu,False,1,6.699549,2.527465973113497
stressng-cpu-int128decimal32,2.650698,issdm-6,with,cpu,False,1,5.899868,2.225779021223844
stressng-cpu-correlate,0.085737,issdm-6,with,cpu,False,1,0.19043,2.2210947432263786
stressng-cpu-ln2,67.852788,issdm-6,with,cpu,False,1,147.500767,2.17383502355128
stressng-cpu-longdouble,2.672516,issdm-6,with,cpu,False,1,4.7516620000000005,1.777973265641815
stressng-cpu-int32longdouble,2.661037,issdm-6,with,cpu,False,1,4.652853,1.748511200708596
stressng-cpu-trig,1.969468,issdm-6,with,cpu,False,1,3.167806,1.6084577154845878
stressng-cpu-int128longdouble,2.650698,issdm-6,with,cpu,False,1,3.999073,1.50868676854172
stressng-memory-matrix,13.803153,issdm-6,with,memory,False,1,18.800239,1.3620249663247233
stressng-matrix-prod,1.500338,issdm-6,with,matrix,False,1,2.000016,1.3330436208374379
stressng-matrix-frobenius,200.744889,issdm-6,with,matrix,False,1,235.749767,1.174374940126122
stressng-cpu-rgb,277.703913,issdm-6,with,cpu,False,1,314.167467,1.1313037097896421
stressng-matrix-mult,406.191314,issdm-6,with,matrix,False,1,448.804077,1.1049081098765197
stressng-cpu-idct,105.588415,issdm-6,with,cpu,False,1,115.400831,1.0929308011679124
stressng-matrix-div,143.032424,issdm-6,with,matrix,False,1,156.001421,1.0906717276916178
stressng-cpu-explog,0.63089,issdm-6,with,cpu,False,1,0.673003,1.0667517316806416
stressng-cpu-fft,1.588453,issdm-6,with,cpu,False,1,1.584027,0.9972136411968122
