machine,limits,benchmark,base_result,lower_is_better,result,normalized
issdm-6,with,blogbench_writes,451.0,False,41.0,0.09090909090909091
issdm-6,with,blogbench_reads,281330.0,False,6746.0,0.023978957096648063
t2.micro,with,blogbench_writes,451.0,False,334.0,0.7405764966740577
t2.micro,with,blogbench_reads,281330.0,False,24659.0,0.08765151245867842
issdm-6,with,compilebench_intial_create,24.43,False,5.1,0.20875972165370446
issdm-6,with,compilebench_create,20.14,False,4.33,0.21499503475670306
issdm-6,with,compilebench_patch,8.02,False,6.96,0.8678304239401496
issdm-6,with,compilebench_compile,110.99,False,16.46,0.14830164879718896
issdm-6,with,compilebench_clean,914.11,False,83.87,0.09175044578880004
issdm-6,with,compilebench_read_tree,22.75,False,7.7,0.3384615384615385
issdm-6,with,compilebench_read_compiled_tree,61.44,False,22.67,0.36897786458333337
issdm-6,with,compilebench_delete_tree,5.23,True,30.39,0.17209608423823627
issdm-6,with,compilebench_stat_tree,3.2,True,17.11,0.1870251315020456
issdm-6,with,compilebench_stat_compiled_tree,3.58,True,18.4,0.19456521739130436
t2.micro,with,compilebench_intial_create,24.43,False,47.58,1.9476054031927956
t2.micro,with,compilebench_create,20.14,False,47.42,2.3545183714001987
t2.micro,with,compilebench_patch,8.02,False,34.64,4.319201995012469
t2.micro,with,compilebench_compile,110.99,False,61.85,0.5572574105775295
t2.micro,with,compilebench_clean,914.11,False,5061.17,5.536718775639693
t2.micro,with,compilebench_read_tree,22.75,False,54.62,2.4008791208791207
t2.micro,with,compilebench_read_compiled_tree,61.44,False,56.15,0.9138997395833334
t2.micro,with,compilebench_delete_tree,5.23,True,1.36,3.8455882352941178
t2.micro,with,compilebench_stat_tree,3.2,True,0.87,3.6781609195402303
t2.micro,with,compilebench_stat_compiled_tree,3.58,True,0.89,4.022471910112359
issdm-6,with,fhourstones_8_1,1258.4,False,4299.7,3.4167991099809276
issdm-6,with,fhourstones_8_2,1121.7,False,4418.0,3.938664527057145
issdm-6,with,fhourstones_8_3,1156.7,False,4512.8,3.9014437624275957
issdm-6,with,fhourstones_0,1151.5,False,4543.4,3.9456361267911415
t2.micro,with,fhourstones_8_1,1258.4,False,8599.3,6.833518753973299
t2.micro,with,fhourstones_8_2,1121.7,False,6995.8,6.236783453686368
t2.micro,with,fhourstones_8_3,1156.7,False,6929.3,5.990576640442638
t2.micro,with,fhourstones_0,1151.5,False,7253.9,6.299522362136344
issdm-6,with,himeno,6.551732,False,8.416859,1.2846769373350437
t2.micro,with,himeno,6.551732,False,357.749314,54.60377713862533
issdm-6,with,interbench_audio_none,15.0,True,7.0,2.142857142857143
issdm-6,with,interbench_video_none,17.0,True,6.0,2.8333333333333335
issdm-6,with,interbench_audio_video,15.0,True,6.0,2.5
issdm-6,with,interbench_audio_x,15.0,True,7.0,2.142857142857143
issdm-6,with,interbench_video_x,14.0,True,7.0,2.0
issdm-6,with,interbench_audio_burn,15.0,True,7.0,2.142857142857143
issdm-6,with,interbench_video_burn,14.0,True,6.0,2.3333333333333335
issdm-6,with,interbench_audio_write,382.0,True,13.0,29.384615384615383
issdm-6,with,interbench_video_write,206.0,True,8.0,25.75
issdm-6,with,interbench_audio_read,25.0,True,14.0,1.7857142857142858
issdm-6,with,interbench_video_read,35.0,True,12.0,2.9166666666666665
issdm-6,with,interbench_audio_compile,80.0,True,14.0,5.714285714285714
issdm-6,with,interbench_video_compile,36.0,True,9.0,4.0
t2.micro,with,interbench_audio_none,15.0,True,11.0,1.3636363636363635
t2.micro,with,interbench_video_none,17.0,True,5.0,3.4
t2.micro,with,interbench_audio_video,15.0,True,6.0,2.5
t2.micro,with,interbench_audio_x,15.0,True,10.0,1.5
t2.micro,with,interbench_video_x,14.0,True,4.0,3.5
t2.micro,with,interbench_audio_burn,15.0,True,9.0,1.6666666666666667
t2.micro,with,interbench_video_burn,14.0,True,4.0,3.5
t2.micro,with,interbench_audio_write,382.0,True,9.0,42.44444444444444
t2.micro,with,interbench_video_write,206.0,True,6.0,34.333333333333336
t2.micro,with,interbench_audio_read,25.0,True,9.0,2.7777777777777777
t2.micro,with,interbench_video_read,35.0,True,5.0,7.0
t2.micro,with,interbench_audio_compile,80.0,True,9.0,8.88888888888889
t2.micro,with,interbench_video_compile,36.0,True,6.0,6.0
issdm-6,with,nbench_numeric_sort,456.78,False,1045.2,2.288191251806121
issdm-6,with,nbench_string_sort,64.61399999999999,False,166.69,2.579781471507723
issdm-6,with,nbench_bitfield,1.7666,False,3.4556,1.9560738141061929
issdm-6,with,nbench_fp_emulation,148.7,False,322.31,2.167518493611298
issdm-6,with,nbench_fourier,155.53,False,18073.0,116.20266186587797
issdm-6,with,nbench_assignment,7.4656,False,21.660999999999998,2.9014412773253317
issdm-6,with,nbench_idea,1670.0,False,5248.0,3.1425149700598802
issdm-6,with,nbench_huffman,476.57,False,1687.8,3.541557378769121
issdm-6,with,nbench_neural_net,0.23485,False,32.941,140.2639982967852
issdm-6,with,nbench_lu_decomposition,7.8958,False,1123.9,142.34149801160112
issdm-6,with,nbench_memory_index,5.928999999999999,False,14.505,2.4464496542418623
issdm-6,with,nbench_integer_index,6.71,False,18.29,2.7257824143070044
issdm-6,with,nbench_floating-point_index,0.16699999999999998,False,22.105999999999998,132.37125748502993
t2.micro,with,nbench_numeric_sort,456.78,False,1424.0,3.1174744953807085
t2.micro,with,nbench_string_sort,64.61399999999999,False,1153.0,17.844429999690472
t2.micro,with,nbench_bitfield,1.7666,False,4.9991,2.8297860296614967
t2.micro,with,nbench_fp_emulation,148.7,False,546.16,3.6728984532616007
t2.micro,with,nbench_fourier,155.53,False,41088.0,264.1805439465055
t2.micro,with,nbench_assignment,7.4656,False,53.995,7.232506429489926
t2.micro,with,nbench_idea,1670.0,False,9996.4,5.985868263473054
t2.micro,with,nbench_huffman,476.57,False,4665.6,9.789957403949053
t2.micro,with,nbench_neural_net,0.23485,False,99.331,422.95507770917607
t2.micro,with,nbench_lu_decomposition,7.8958,False,2608.2,330.3275158945262
t2.micro,with,nbench_memory_index,5.928999999999999,False,42.38,7.147917018046889
t2.micro,with,nbench_integer_index,6.71,False,34.150999999999996,5.08956780923994
t2.micro,with,nbench_floating-point_index,0.16699999999999998,False,55.6,332.934131736527
issdm-6,with,pybench_builtin_function_calls,566.0,True,1761.0,0.32140829074389554
issdm-6,with,pybench_builtin_method_lookup,533.0,True,1350.0,0.39481481481481484
issdm-6,with,pybench_compare_floats,539.0,True,1410.0,0.3822695035460993
issdm-6,with,pybench_compare_floats_integers,1779.0,True,1379.0,1.290065264684554
issdm-6,with,pybench_compare_integers,420.0,True,1506.0,0.2788844621513944
issdm-6,with,pybench_compare_interned_strings,455.0,True,1529.0,0.2975801177240026
issdm-6,with,pybench_compare_longs,403.0,True,1360.0,0.2963235294117647
issdm-6,with,pybench_compare_strings,424.0,True,1605.0,0.2641744548286604
issdm-6,with,pybench_compare_unicode,428.0,True,1435.0,0.29825783972125436
issdm-6,with,pybench_complex_python_function_calls,483.0,True,1760.0,0.27443181818181817
issdm-6,with,pybench_concat_strings,732.0,True,2454.0,0.2982885085574572
issdm-6,with,pybench_concat_unicode,530.0,True,2190.0,0.2420091324200913
issdm-6,with,pybench_create_instances,610.0,True,2198.0,0.2775250227479527
issdm-6,with,pybench_create_new_instances,489.0,True,1651.0,0.2961841308298001
issdm-6,with,pybench_create_strings_with_concat,470.0,True,1654.0,0.2841596130592503
issdm-6,with,pybench_create_unicode_with_concat,314.0,True,1199.0,0.2618849040867389
issdm-6,with,pybench_dict_creation,380.0,True,1191.0,0.31905961376994124
issdm-6,with,pybench_dict_with_float_keys,3437.0,True,1585.0,2.168454258675079
issdm-6,with,pybench_dict_with_integer_keys,473.0,True,1424.0,0.3321629213483146
issdm-6,with,pybench_dict_with_string_keys,436.0,True,1227.0,0.3553382233088835
issdm-6,with,pybench_for_loops,422.0,True,1139.0,0.37050043898156276
issdm-6,with,pybench_if_then_else,306.0,True,1164.0,0.26288659793814434
issdm-6,with,pybench_list_slicing,478.0,True,1871.0,0.2554783538214858
issdm-6,with,pybench_nested_for_loops,517.0,True,1449.0,0.35679779158040026
issdm-6,with,pybench_nested_list_comprehensions,580.0,True,1741.0,0.3331418724870764
issdm-6,with,pybench_normal_class_attribute,556.0,True,1889.0,0.29433562731604024
issdm-6,with,pybench_normal_instance_attribute,507.0,True,1311.0,0.38672768878718533
issdm-6,with,pybench_python_function_calls,434.0,True,1539.0,0.2820012995451592
issdm-6,with,pybench_python_method_calls,605.0,True,2049.0,0.29526598340653976
issdm-6,with,pybench_recursion,625.0,True,2071.0,0.30178657653307583
issdm-6,with,pybench_second_import,552.0,True,2320.0,0.23793103448275862
issdm-6,with,pybench_second_package_import,572.0,True,2489.0,0.22981116914423463
issdm-6,with,pybench_second_submodule_import,698.0,True,3181.0,0.21942785287645394
issdm-6,with,pybench_simple_complex_arithmetic,1513.0,True,1439.0,1.0514246004169563
issdm-6,with,pybench_simple_dict_manipulation,469.0,True,1369.0,0.34258582907231555
issdm-6,with,pybench_simple_float_arithmetic,862.0,True,1325.0,0.6505660377358491
issdm-6,with,pybench_simple_int_float_arithmetic,628.0,True,1345.0,0.46691449814126396
issdm-6,with,pybench_simple_integer_arithmetic,629.0,True,1344.0,0.4680059523809524
issdm-6,with,pybench_simple_list_comprehensions,497.0,True,1521.0,0.326758711374096
issdm-6,with,pybench_simple_list_manipulation,399.0,True,1144.0,0.3487762237762238
issdm-6,with,pybench_simple_long_arithmetic,388.0,True,1179.0,0.3290924512298558
issdm-6,with,pybench_small_lists,519.0,True,1578.0,0.3288973384030418
issdm-6,with,pybench_small_tuples,467.0,True,1532.0,0.3048302872062663
issdm-6,with,pybench_special_class_attribute,555.0,True,1568.0,0.3539540816326531
issdm-6,with,pybench_special_instance_attribute,666.0,True,1820.0,0.3659340659340659
issdm-6,with,pybench_string_mappings,450.0,True,1299.0,0.3464203233256351
issdm-6,with,pybench_string_predicates,495.0,True,1477.0,0.33513879485443465
issdm-6,with,pybench_string_slicing,322.0,True,1204.0,0.26744186046511625
issdm-6,with,pybench_try_except,427.0,True,1035.0,0.41256038647342996
issdm-6,with,pybench_try_finally,447.0,True,1758.0,0.25426621160409557
issdm-6,with,pybench_try_raise_except,427.0,True,1650.0,0.2587878787878788
issdm-6,with,pybench_tuple_slicing,496.0,True,1421.0,0.34904996481351164
issdm-6,with,pybench_unicode_mappings,793.0,True,1985.0,0.3994962216624685
issdm-6,with,pybench_unicode_predicates,520.0,True,1603.0,0.32439176543980036
issdm-6,with,pybench_unicode_properties,442.0,True,1647.0,0.26836672738312084
issdm-6,with,pybench_unicode_slicing,446.0,True,1674.0,0.26642771804062126
issdm-6,with,pybench_with_finally,607.0,True,2249.0,0.269897732325478
issdm-6,with,pybench_with_raise_except,869.0,True,3444.0,0.25232288037166084
t2.micro,with,pybench_builtin_function_calls,566.0,True,200.0,2.83
t2.micro,with,pybench_builtin_method_lookup,533.0,True,139.0,3.8345323741007196
t2.micro,with,pybench_compare_floats,539.0,True,139.0,3.8776978417266186
t2.micro,with,pybench_compare_floats_integers,1779.0,True,133.0,13.37593984962406
t2.micro,with,pybench_compare_integers,420.0,True,100.0,4.2
t2.micro,with,pybench_compare_interned_strings,455.0,True,129.0,3.5271317829457365
t2.micro,with,pybench_compare_longs,403.0,True,156.0,2.5833333333333335
t2.micro,with,pybench_compare_strings,424.0,True,153.0,2.7712418300653594
t2.micro,with,pybench_compare_unicode,428.0,True,158.0,2.7088607594936707
t2.micro,with,pybench_complex_python_function_calls,483.0,True,186.0,2.596774193548387
t2.micro,with,pybench_concat_strings,732.0,True,317.0,2.309148264984227
t2.micro,with,pybench_concat_unicode,530.0,True,235.0,2.25531914893617
t2.micro,with,pybench_create_instances,610.0,True,212.0,2.8773584905660377
t2.micro,with,pybench_create_new_instances,489.0,True,163.0,3.0
t2.micro,with,pybench_create_strings_with_concat,470.0,True,199.0,2.3618090452261304
t2.micro,with,pybench_create_unicode_with_concat,314.0,True,176.0,1.7840909090909092
t2.micro,with,pybench_dict_creation,380.0,True,123.0,3.089430894308943
t2.micro,with,pybench_dict_with_float_keys,3437.0,True,190.0,18.089473684210525
t2.micro,with,pybench_dict_with_integer_keys,473.0,True,164.0,2.8841463414634148
t2.micro,with,pybench_dict_with_string_keys,436.0,True,122.0,3.5737704918032787
t2.micro,with,pybench_for_loops,422.0,True,112.0,3.767857142857143
t2.micro,with,pybench_if_then_else,306.0,True,98.0,3.122448979591837
t2.micro,with,pybench_list_slicing,478.0,True,222.0,2.1531531531531534
t2.micro,with,pybench_nested_for_loops,517.0,True,158.0,3.2721518987341773
t2.micro,with,pybench_nested_list_comprehensions,580.0,True,190.0,3.0526315789473686
t2.micro,with,pybench_normal_class_attribute,556.0,True,153.0,3.633986928104575
t2.micro,with,pybench_normal_instance_attribute,507.0,True,156.0,3.25
t2.micro,with,pybench_python_function_calls,434.0,True,144.0,3.013888888888889
