machine,limits,benchmark,base_result,lower_is_better,result,normalized
t2.micro,with,nbench_huffman,476.57,False,4665.6,9.789957403949053
t2.micro,with,nbench_neural_net,0.23485,False,99.331,422.95507770917607
t2.micro,with,nbench_lu_decomposition,7.8958,False,2608.2,330.3275158945262
t2.micro,with,nbench_memory_index,5.928999999999999,False,42.38,7.147917018046889
t2.micro,with,nbench_integer_index,6.71,False,34.150999999999996,5.08956780923994
t2.micro,with,nbench_floating-point_index,0.16699999999999998,False,55.6,332.934131736527
issdm-6,with,pybench_builtin_function_calls,566.0,True,1761.0,-3.1113074204946995
issdm-6,with,pybench_builtin_method_lookup,533.0,True,1350.0,-2.5328330206378986
issdm-6,with,pybench_compare_floats,539.0,True,1410.0,-2.6159554730983303
issdm-6,with,pybench_compare_floats_integers,1779.0,True,1379.0,1.290065264684554
issdm-6,with,pybench_compare_integers,420.0,True,1506.0,-3.585714285714286
issdm-6,with,pybench_compare_interned_strings,455.0,True,1529.0,-3.3604395604395605
issdm-6,with,pybench_compare_longs,403.0,True,1360.0,-3.3746898263027294
issdm-6,with,pybench_compare_strings,424.0,True,1605.0,-3.785377358490566
issdm-6,with,pybench_compare_unicode,428.0,True,1435.0,-3.352803738317757
issdm-6,with,pybench_complex_python_function_calls,483.0,True,1760.0,-3.6438923395445135
issdm-6,with,pybench_concat_strings,732.0,True,2454.0,-3.3524590163934427
issdm-6,with,pybench_concat_unicode,530.0,True,2190.0,-4.132075471698113
issdm-6,with,pybench_create_instances,610.0,True,2198.0,-3.60327868852459
issdm-6,with,pybench_create_new_instances,489.0,True,1651.0,-3.376278118609407
issdm-6,with,pybench_create_strings_with_concat,470.0,True,1654.0,-3.519148936170213
issdm-6,with,pybench_create_unicode_with_concat,314.0,True,1199.0,-3.8184713375796178
issdm-6,with,pybench_dict_creation,380.0,True,1191.0,-3.1342105263157896
issdm-6,with,pybench_dict_with_float_keys,3437.0,True,1585.0,2.168454258675079
issdm-6,with,pybench_dict_with_integer_keys,473.0,True,1424.0,-3.010570824524313
issdm-6,with,pybench_dict_with_string_keys,436.0,True,1227.0,-2.8142201834862384
issdm-6,with,pybench_for_loops,422.0,True,1139.0,-2.699052132701422
issdm-6,with,pybench_if_then_else,306.0,True,1164.0,-3.803921568627451
issdm-6,with,pybench_list_slicing,478.0,True,1871.0,-3.914225941422594
issdm-6,with,pybench_nested_for_loops,517.0,True,1449.0,-2.8027079303675047
issdm-6,with,pybench_nested_list_comprehensions,580.0,True,1741.0,-3.0017241379310344
issdm-6,with,pybench_normal_class_attribute,556.0,True,1889.0,-3.397482014388489
issdm-6,with,pybench_normal_instance_attribute,507.0,True,1311.0,-2.5857988165680474
issdm-6,with,pybench_python_function_calls,434.0,True,1539.0,-3.546082949308756
issdm-6,with,pybench_python_method_calls,605.0,True,2049.0,-3.386776859504132
issdm-6,with,pybench_recursion,625.0,True,2071.0,-3.3136
issdm-6,with,pybench_second_import,552.0,True,2320.0,-4.202898550724638
issdm-6,with,pybench_second_package_import,572.0,True,2489.0,-4.351398601398602
issdm-6,with,pybench_second_submodule_import,698.0,True,3181.0,-4.5573065902578795
issdm-6,with,pybench_simple_complex_arithmetic,1513.0,True,1439.0,1.0514246004169563
issdm-6,with,pybench_simple_dict_manipulation,469.0,True,1369.0,-2.9189765458422174
issdm-6,with,pybench_simple_float_arithmetic,862.0,True,1325.0,-1.537122969837587
issdm-6,with,pybench_simple_int_float_arithmetic,628.0,True,1345.0,-2.1417197452229297
issdm-6,with,pybench_simple_integer_arithmetic,629.0,True,1344.0,-2.136724960254372
issdm-6,with,pybench_simple_list_comprehensions,497.0,True,1521.0,-3.0603621730382295
issdm-6,with,pybench_simple_list_manipulation,399.0,True,1144.0,-2.8671679197994986
issdm-6,with,pybench_simple_long_arithmetic,388.0,True,1179.0,-3.038659793814433
issdm-6,with,pybench_small_lists,519.0,True,1578.0,-3.040462427745665
issdm-6,with,pybench_small_tuples,467.0,True,1532.0,-3.28051391862955
issdm-6,with,pybench_special_class_attribute,555.0,True,1568.0,-2.8252252252252252
issdm-6,with,pybench_special_instance_attribute,666.0,True,1820.0,-2.7327327327327327
issdm-6,with,pybench_string_mappings,450.0,True,1299.0,-2.8866666666666667
issdm-6,with,pybench_string_predicates,495.0,True,1477.0,-2.9838383838383837
issdm-6,with,pybench_string_slicing,322.0,True,1204.0,-3.739130434782609
issdm-6,with,pybench_try_except,427.0,True,1035.0,-2.423887587822014
issdm-6,with,pybench_try_finally,447.0,True,1758.0,-3.9328859060402683
issdm-6,with,pybench_try_raise_except,427.0,True,1650.0,-3.8641686182669788
issdm-6,with,pybench_tuple_slicing,496.0,True,1421.0,-2.8649193548387095
issdm-6,with,pybench_unicode_mappings,793.0,True,1985.0,-2.5031525851197984
issdm-6,with,pybench_unicode_predicates,520.0,True,1603.0,-3.082692307692308
issdm-6,with,pybench_unicode_properties,442.0,True,1647.0,-3.726244343891403
issdm-6,with,pybench_unicode_slicing,446.0,True,1674.0,-3.7533632286995515
issdm-6,with,pybench_with_finally,607.0,True,2249.0,-3.7051070840197693
issdm-6,with,pybench_with_raise_except,869.0,True,3444.0,-3.963176064441887
t2.micro,with,pybench_builtin_function_calls,566.0,True,200.0,2.83
t2.micro,with,pybench_builtin_method_lookup,533.0,True,139.0,3.8345323741007196
t2.micro,with,pybench_compare_floats,539.0,True,139.0,3.8776978417266186
t2.micro,with,pybench_compare_floats_integers,1779.0,True,133.0,13.37593984962406
t2.micro,with,pybench_compare_integers,420.0,True,100.0,4.2
t2.micro,with,pybench_compare_interned_strings,455.0,True,129.0,3.5271317829457365
t2.micro,with,pybench_compare_longs,403.0,True,156.0,2.5833333333333335
t2.micro,with,pybench_compare_strings,424.0,True,153.0,2.7712418300653594
t2.micro,with,pybench_compare_unicode,428.0,True,158.0,2.7088607594936707
t2.micro,with,pybench_complex_python_function_calls,483.0,True,186.0,2.596774193548387
t2.micro,with,pybench_concat_strings,732.0,True,317.0,2.309148264984227
t2.micro,with,pybench_concat_unicode,530.0,True,235.0,2.25531914893617
t2.micro,with,pybench_create_instances,610.0,True,212.0,2.8773584905660377
t2.micro,with,pybench_create_new_instances,489.0,True,163.0,3.0
t2.micro,with,pybench_create_strings_with_concat,470.0,True,199.0,2.3618090452261304
t2.micro,with,pybench_create_unicode_with_concat,314.0,True,176.0,1.7840909090909092
t2.micro,with,pybench_dict_creation,380.0,True,123.0,3.089430894308943
t2.micro,with,pybench_dict_with_float_keys,3437.0,True,190.0,18.089473684210525
t2.micro,with,pybench_dict_with_integer_keys,473.0,True,164.0,2.8841463414634148
t2.micro,with,pybench_dict_with_string_keys,436.0,True,122.0,3.5737704918032787
t2.micro,with,pybench_for_loops,422.0,True,112.0,3.767857142857143
t2.micro,with,pybench_if_then_else,306.0,True,98.0,3.122448979591837
t2.micro,with,pybench_list_slicing,478.0,True,222.0,2.1531531531531534
t2.micro,with,pybench_nested_for_loops,517.0,True,158.0,3.2721518987341773
t2.micro,with,pybench_nested_list_comprehensions,580.0,True,190.0,3.0526315789473686
t2.micro,with,pybench_normal_class_attribute,556.0,True,153.0,3.633986928104575
t2.micro,with,pybench_normal_instance_attribute,507.0,True,156.0,3.25
t2.micro,with,pybench_python_function_calls,434.0,True,144.0,3.013888888888889
t2.micro,with,pybench_python_method_calls,605.0,True,225.0,2.688888888888889
t2.micro,with,pybench_recursion,625.0,True,223.0,2.802690582959641
t2.micro,with,pybench_second_import,552.0,True,220.0,2.5090909090909093
t2.micro,with,pybench_second_package_import,572.0,True,231.0,2.4761904761904763
t2.micro,with,pybench_second_submodule_import,698.0,True,300.0,2.3266666666666667
t2.micro,with,pybench_simple_complex_arithmetic,1513.0,True,147.0,10.29251700680272
t2.micro,with,pybench_simple_dict_manipulation,469.0,True,141.0,3.326241134751773
t2.micro,with,pybench_simple_float_arithmetic,862.0,True,130.0,6.630769230769231
t2.micro,with,pybench_simple_int_float_arithmetic,628.0,True,137.0,4.583941605839416
t2.micro,with,pybench_simple_integer_arithmetic,629.0,True,122.0,5.155737704918033
t2.micro,with,pybench_simple_list_comprehensions,497.0,True,176.0,2.8238636363636362
t2.micro,with,pybench_simple_list_manipulation,399.0,True,105.0,3.8
t2.micro,with,pybench_simple_long_arithmetic,388.0,True,129.0,3.007751937984496
t2.micro,with,pybench_small_lists,519.0,True,169.0,3.0710059171597632
t2.micro,with,pybench_small_tuples,467.0,True,161.0,2.900621118012422
t2.micro,with,pybench_special_class_attribute,555.0,True,161.0,3.4472049689440993
t2.micro,with,pybench_special_instance_attribute,666.0,True,376.0,1.7712765957446808
t2.micro,with,pybench_string_mappings,450.0,True,160.0,2.8125
t2.micro,with,pybench_string_predicates,495.0,True,174.0,2.8448275862068964
t2.micro,with,pybench_string_slicing,322.0,True,156.0,2.0641025641025643
t2.micro,with,pybench_try_except,427.0,True,111.0,3.8468468468468466
t2.micro,with,pybench_try_finally,447.0,True,179.0,2.4972067039106145
t2.micro,with,pybench_try_raise_except,427.0,True,171.0,2.497076023391813
t2.micro,with,pybench_tuple_slicing,496.0,True,162.0,3.0617283950617282
t2.micro,with,pybench_unicode_mappings,793.0,True,265.0,2.9924528301886792
t2.micro,with,pybench_unicode_predicates,520.0,True,189.0,2.751322751322751
t2.micro,with,pybench_unicode_properties,442.0,True,190.0,2.3263157894736843
t2.micro,with,pybench_unicode_slicing,446.0,True,183.0,2.4371584699453552
t2.micro,with,pybench_with_finally,607.0,True,237.0,2.561181434599156
t2.micro,with,pybench_with_raise_except,869.0,True,323.0,2.6904024767801857
issdm-6,with,ramsmp_integer_writing_1kb_block,6739.58,False,2265.03,-2.9754925983320306
