machine,limits,benchmark,class,lower_is_better,repetition,result
"issdm-6","with","stressng-cpu-all","cpu",false,"1",5.229076
"issdm-6","with","stressng-cpu-ackermann","cpu",false,"1",0.535738
"issdm-6","with","stressng-cpu-bitops","cpu",false,"1",93.397542
"issdm-6","with","stressng-cpu-callfunc","cpu",false,"1",12852.729928
"issdm-6","with","stressng-cpu-cdouble","cpu",false,"1",165.364637
"issdm-6","with","stressng-cpu-cfloat","cpu",false,"1",116.697852
"issdm-6","with","stressng-cpu-clongdouble","cpu",false,"1",73.697906
"issdm-6","with","stressng-cpu-correlate","cpu",false,"1",1.358844
"issdm-6","with","stressng-cpu-crc16","cpu",false,"1",6.927486
"issdm-6","with","stressng-cpu-decimal32","cpu",false,"1",49.695124
"issdm-6","with","stressng-cpu-decimal64","cpu",false,"1",61.099145
"issdm-6","with","stressng-cpu-decimal128","cpu",false,"1",10.297609
"issdm-6","with","stressng-cpu-dither","cpu",false,"1",6.931724
"issdm-6","with","stressng-cpu-djb2a","cpu",false,"1",3997.136785
"issdm-6","with","stressng-cpu-double","cpu",false,"1",259.573553
"issdm-6","with","stressng-cpu-euler","cpu",false,"1",263206.984608
"issdm-6","with","stressng-cpu-explog","cpu",false,"1",5.048554
"issdm-6","with","stressng-cpu-fft","cpu",false,"1",11.398969
"issdm-6","with","stressng-cpu-fibonacci","cpu",false,"1",683439.665101
"issdm-6","with","stressng-cpu-float","cpu",false,"1",1111.309565
"issdm-6","with","stressng-cpu-fnv1a","cpu",false,"1",4098.741727
"issdm-6","with","stressng-cpu-gamma","cpu",false,"1",8.898357
"issdm-6","with","stressng-cpu-gcd","cpu",false,"1",45.497448
"issdm-6","with","stressng-cpu-gray","cpu",false,"1",264.399313
"issdm-6","with","stressng-cpu-hamming","cpu",false,"1",21.699855
"issdm-6","with","stressng-cpu-hanoi","cpu",false,"1",6.139734
"issdm-6","with","stressng-cpu-hyperbolic","cpu",false,"1",37.298769
"issdm-6","with","stressng-cpu-idct","cpu",false,"1",837.706691
"issdm-6","with","stressng-cpu-int128","cpu",false,"1",211.197467
"issdm-6","with","stressng-cpu-int64","cpu",false,"1",2059.415663
"issdm-6","with","stressng-cpu-int32","cpu",false,"1",2411.822426
"issdm-6","with","stressng-cpu-int16","cpu",false,"1",2393.317428
"issdm-6","with","stressng-cpu-int8","cpu",false,"1",2409.920455
"issdm-6","with","stressng-cpu-int128float","cpu",false,"1",180.294829
"issdm-6","with","stressng-cpu-int128double","cpu",false,"1",121.594176
"issdm-6","with","stressng-cpu-int128longdouble","cpu",false,"1",28.99659
"issdm-6","with","stressng-cpu-int128decimal32","cpu",false,"1",40.698254
"issdm-6","with","stressng-cpu-int128decimal64","cpu",false,"1",47.000385
"issdm-6","with","stressng-cpu-int128decimal128","cpu",false,"1",9.699104
"issdm-6","with","stressng-cpu-int64float","cpu",false,"1",759.40076
"issdm-6","with","stressng-cpu-int64double","cpu",false,"1",245.697592
"issdm-6","with","stressng-cpu-int64longdouble","cpu",false,"1",32.694429
"issdm-6","with","stressng-cpu-int32float","cpu",false,"1",840.905634
"issdm-6","with","stressng-cpu-int32double","cpu",false,"1",246.002287
"issdm-6","with","stressng-cpu-int32longdouble","cpu",false,"1",33.297759
"issdm-6","with","stressng-cpu-jenkin","cpu",false,"1",1227.934894
"issdm-6","with","stressng-cpu-jmp","cpu",false,"1",1610.814018
"issdm-6","with","stressng-cpu-ln2","cpu",false,"1",1070.308344
"issdm-6","with","stressng-cpu-longdouble","cpu",false,"1",33.896268
"issdm-6","with","stressng-cpu-loop","cpu",false,"1",984.507582
"issdm-6","with","stressng-cpu-matrixprod","cpu",false,"1",3.761964
"issdm-6","with","stressng-cpu-nsqrt","cpu",false,"1",6.699748
"issdm-6","with","stressng-cpu-omega","cpu",false,"1",125517.792793
"issdm-6","with","stressng-cpu-parity","cpu",false,"1",784.00157
"issdm-6","with","stressng-cpu-phi","cpu",false,"1",517189.487187
"issdm-6","with","stressng-cpu-pi","cpu",false,"1",37648.461737
"issdm-6","with","stressng-cpu-pjw","cpu",false,"1",2098.619764
"issdm-6","with","stressng-cpu-prime","cpu",false,"1",0.156232
"issdm-6","with","stressng-cpu-psi","cpu",false,"1",64802.52264
"issdm-6","with","stressng-cpu-queens","cpu",false,"1",4.155685
"issdm-6","with","stressng-cpu-rand","cpu",false,"1",884.005564
"issdm-6","with","stressng-cpu-rand48","cpu",false,"1",106.49968
"issdm-6","with","stressng-cpu-rgb","cpu",false,"1",2277.342381
