benchmark,base_result,machine,limits,class,lower_is_better,repetition,result,normalized
stressng-cpu-ackermann,1.3448930000000001,issdm-6,with,cpu,False,3,0.129026,0.09593774374615675
stressng-cpu-bitops,540.245816,issdm-6,with,cpu,False,3,22.599139,0.041831215218518236
stressng-cpu-callfunc,28821.929834,issdm-6,with,cpu,False,3,3080.2264379999997,0.10687092973095744
stressng-cpu-cdouble,41.269077,issdm-6,with,cpu,False,3,39.307717,0.9524738583322325
stressng-cpu-cfloat,40.008874,issdm-6,with,cpu,False,3,27.921008,0.6978703774567613
stressng-cpu-clongdouble,35.321269,issdm-6,with,cpu,False,3,17.699051,0.5010876307983159
stressng-cpu-correlate,0.085737,issdm-6,with,cpu,False,3,0.33053,3.8551617154787317
stressng-cpu-crc16,44.270771999999994,issdm-6,with,cpu,False,3,1.682754,0.03801049595430593
stressng-cpu-decimal32,44.270771999999994,issdm-6,with,cpu,False,3,12.699015,0.2868487362271433
stressng-cpu-decimal64,44.270771999999994,issdm-6,with,cpu,False,3,15.049581,0.33994394766822683
stressng-cpu-decimal128,35.360962,issdm-6,with,cpu,False,3,2.426976,0.06863433183746527
stressng-cpu-dither,15.7718,issdm-6,with,cpu,False,3,1.682913,0.10670392726258258
stressng-cpu-djb2a,21835.876491,issdm-6,with,cpu,False,3,965.108583,0.04419829830956338
stressng-cpu-double,41.178266,issdm-6,with,cpu,False,3,61.19967,1.4862128968713737
stressng-cpu-euler,8487.934437,issdm-6,with,cpu,False,3,63621.855602999996,7.495563976750825
stressng-cpu-explog,0.63089,issdm-6,with,cpu,False,3,1.237666,1.9617778059566644
stressng-cpu-fft,1.5884530000000001,issdm-6,with,cpu,False,3,2.788361,1.7553940846849103
stressng-cpu-fibonacci,2492582.05995,issdm-6,with,cpu,False,3,161321.692381,0.06472071470507014
stressng-cpu-float,385.042348,issdm-6,with,cpu,False,3,269.40121400000004,0.6996664533117797
stressng-cpu-fnv1a,11638.691738,issdm-6,with,cpu,False,3,982.010644,0.0843746587766186
stressng-cpu-gamma,0.197453,issdm-6,with,cpu,False,3,2.135977,10.817647744020096
stressng-cpu-gcd,496.183508,issdm-6,with,cpu,False,3,10.999493,0.02216819548141854
stressng-cpu-gray,1605.382855,issdm-6,with,cpu,False,3,63.466998,0.03953387056696827
stressng-cpu-hamming,140.566785,issdm-6,with,cpu,False,3,5.100034,0.03628192819519917
stressng-cpu-hanoi,31.940533000000002,issdm-6,with,cpu,False,3,1.499611,0.04695009316218987
stressng-cpu-hyperbolic,1.811796,issdm-6,with,cpu,False,3,8.798435000000001,4.856195178706654
stressng-cpu-idct,105.588415,issdm-6,with,cpu,False,3,202.60158,1.918786071369667
stressng-cpu-int128,613.545523,issdm-6,with,cpu,False,3,50.999255,0.08312220216461427
stressng-cpu-int64,5772.306863000001,issdm-6,with,cpu,False,3,493.54490300000003,0.085502194307025
stressng-cpu-int32,5772.723277,issdm-6,with,cpu,False,3,580.2052150000001,0.10050805956898808
stressng-cpu-int16,5772.348435,issdm-6,with,cpu,False,3,571.1037719999999,0.09893785491831626
stressng-cpu-int8,5908.934274,issdm-6,with,cpu,False,3,582.5041940000001,0.09858024594436368
stressng-cpu-int128float,245.44638799999998,issdm-6,with,cpu,False,3,44.799843,0.18252394490319412
stressng-cpu-int128double,39.29967,issdm-6,with,cpu,False,3,28.614482000000002,0.7281099815850872
stressng-cpu-int128longdouble,2.6506979999999998,issdm-6,with,cpu,False,3,6.930209,2.6144845621794714
stressng-cpu-int128decimal32,2.6506979999999998,issdm-6,with,cpu,False,3,10.295727000000001,3.884156927722435
stressng-cpu-int128decimal64,2.6506979999999998,issdm-6,with,cpu,False,3,11.683455,4.407689974489739
stressng-cpu-int128decimal128,2.6506979999999998,issdm-6,with,cpu,False,3,2.27713,0.8590680643362617
stressng-cpu-int64float,371.587889,issdm-6,with,cpu,False,3,179.025277,0.4817844776421117
stressng-cpu-int64double,2.651071,issdm-6,with,cpu,False,3,59.100035,22.292890307351254
stressng-cpu-int64longdouble,371.986874,issdm-6,with,cpu,False,3,8.019735,0.021559188134149056
stressng-cpu-int32float,41.627010999999996,issdm-6,with,cpu,False,3,191.589108,4.602518974999191
stressng-cpu-int32double,2.672973,issdm-6,with,cpu,False,3,59.299317,22.184779644238834
stressng-cpu-int32longdouble,2.661037,issdm-6,with,cpu,False,3,8.117414,3.0504701738457602
stressng-cpu-jenkin,471476.43180699996,issdm-6,with,cpu,False,3,296.642769,0.0006291783618177365
stressng-cpu-jmp,3323.58004,issdm-6,with,cpu,False,3,375.402963,0.11295138329209609
stressng-cpu-ln2,67.852788,issdm-6,with,cpu,False,3,256.937968,3.786697283536824
stressng-cpu-longdouble,2.672516,issdm-6,with,cpu,False,3,8.199197,3.067969284374724
stressng-cpu-loop,4066.367797,issdm-6,with,cpu,False,3,236.44282900000002,0.05814595255609635
stressng-cpu-matrixprod,0.12742699999999998,issdm-6,with,cpu,False,3,0.899827,7.061509727137892
stressng-cpu-nsqrt,0.171731,issdm-6,with,cpu,False,3,1.619047,9.427808607648007
stressng-cpu-omega,4286.82895,issdm-6,with,cpu,False,3,28662.752252,6.686236513355635
