machine,limits,benchmark,class,lower_is_better,repetition,result
"issdm-6","with","stressng-cpu-ackermann","cpu",false,"3",0.129026
"issdm-6","with","stressng-cpu-bitops","cpu",false,"3",22.599139
"issdm-6","with","stressng-cpu-callfunc","cpu",false,"3",3080.226438
"issdm-6","with","stressng-cpu-cdouble","cpu",false,"3",39.307717
"issdm-6","with","stressng-cpu-cfloat","cpu",false,"3",27.921008
"issdm-6","with","stressng-cpu-clongdouble","cpu",false,"3",17.699051
"issdm-6","with","stressng-cpu-correlate","cpu",false,"3",0.33053
"issdm-6","with","stressng-cpu-crc16","cpu",false,"3",1.682754
"issdm-6","with","stressng-cpu-decimal32","cpu",false,"3",12.699015
"issdm-6","with","stressng-cpu-decimal64","cpu",false,"3",15.049581
"issdm-6","with","stressng-cpu-decimal128","cpu",false,"3",2.426976
"issdm-6","with","stressng-cpu-dither","cpu",false,"3",1.682913
"issdm-6","with","stressng-cpu-djb2a","cpu",false,"3",965.108583
"issdm-6","with","stressng-cpu-double","cpu",false,"3",61.19967
"issdm-6","with","stressng-cpu-euler","cpu",false,"3",63621.855603
"issdm-6","with","stressng-cpu-explog","cpu",false,"3",1.237666
"issdm-6","with","stressng-cpu-fft","cpu",false,"3",2.788361
"issdm-6","with","stressng-cpu-fibonacci","cpu",false,"3",161321.692381
"issdm-6","with","stressng-cpu-float","cpu",false,"3",269.401214
"issdm-6","with","stressng-cpu-fnv1a","cpu",false,"3",982.010644
"issdm-6","with","stressng-cpu-gamma","cpu",false,"3",2.135977
"issdm-6","with","stressng-cpu-gcd","cpu",false,"3",10.999493
"issdm-6","with","stressng-cpu-gray","cpu",false,"3",63.466998
"issdm-6","with","stressng-cpu-hamming","cpu",false,"3",5.100034
"issdm-6","with","stressng-cpu-hanoi","cpu",false,"3",1.499611
"issdm-6","with","stressng-cpu-hyperbolic","cpu",false,"3",8.798435
"issdm-6","with","stressng-cpu-idct","cpu",false,"3",202.60158
"issdm-6","with","stressng-cpu-int128","cpu",false,"3",50.999255
"issdm-6","with","stressng-cpu-int64","cpu",false,"3",493.544903
"issdm-6","with","stressng-cpu-int32","cpu",false,"3",580.205215
"issdm-6","with","stressng-cpu-int16","cpu",false,"3",571.103772
"issdm-6","with","stressng-cpu-int8","cpu",false,"3",582.504194
"issdm-6","with","stressng-cpu-int128float","cpu",false,"3",44.799843
"issdm-6","with","stressng-cpu-int128double","cpu",false,"3",28.614482
"issdm-6","with","stressng-cpu-int128longdouble","cpu",false,"3",6.930209
"issdm-6","with","stressng-cpu-int128decimal32","cpu",false,"3",10.295727
"issdm-6","with","stressng-cpu-int128decimal64","cpu",false,"3",11.683455
"issdm-6","with","stressng-cpu-int128decimal128","cpu",false,"3",2.27713
"issdm-6","with","stressng-cpu-int64float","cpu",false,"3",179.025277
"issdm-6","with","stressng-cpu-int64double","cpu",false,"3",59.100035
"issdm-6","with","stressng-cpu-int64longdouble","cpu",false,"3",8.019735
"issdm-6","with","stressng-cpu-int32float","cpu",false,"3",191.589108
"issdm-6","with","stressng-cpu-int32double","cpu",false,"3",59.299317
"issdm-6","with","stressng-cpu-int32longdouble","cpu",false,"3",8.117414
"issdm-6","with","stressng-cpu-jenkin","cpu",false,"3",296.642769
"issdm-6","with","stressng-cpu-jmp","cpu",false,"3",375.402963
"issdm-6","with","stressng-cpu-ln2","cpu",false,"3",256.937968
"issdm-6","with","stressng-cpu-longdouble","cpu",false,"3",8.199197
"issdm-6","with","stressng-cpu-loop","cpu",false,"3",236.442829
"issdm-6","with","stressng-cpu-matrixprod","cpu",false,"3",0.899827
"issdm-6","with","stressng-cpu-nsqrt","cpu",false,"3",1.619047
"issdm-6","with","stressng-cpu-omega","cpu",false,"3",28662.752252
"issdm-6","with","stressng-cpu-parity","cpu",false,"3",188.023767
"issdm-6","with","stressng-cpu-phi","cpu",false,"3",124197.759575
"issdm-6","with","stressng-cpu-pi","cpu",false,"3",8953.932095
"issdm-6","with","stressng-cpu-pjw","cpu",false,"3",503.876509
"issdm-6","with","stressng-cpu-prime","cpu",false,"3",0.037736
"issdm-6","with","stressng-cpu-psi","cpu",false,"3",15730.546268
"issdm-6","with","stressng-cpu-queens","cpu",false,"3",0.990107
"issdm-6","with","stressng-cpu-rand","cpu",false,"3",213.500982
"issdm-6","with","stressng-cpu-rand48","cpu",false,"3",25.699018
"issdm-6","with","stressng-cpu-rgb","cpu",false,"3",553.303272
"issdm-6","with","stressng-cpu-sdbm","cpu",false,"3",952.70222
"issdm-6","with","stressng-cpu-sieve","cpu",false,"3",0.149256
"issdm-6","with","stressng-cpu-sqrt","cpu",false,"3",67.844382
"issdm-6","with","stressng-cpu-trig","cpu",false,"3",5.499527
"issdm-6","with","stressng-cpu-union","cpu",false,"3",300.402134
"issdm-6","with","stressng-cpu-zeta","cpu",false,"3",4.098689
"issdm-6","with","stressng-cpu-af-alg","cpu",false,"3",548.953939
"issdm-6","with","stressng-cpu-bsearch","cpu",false,"3",3.106851
"issdm-6","with","stressng-cpu-cpu","cpu",false,"3",0.642127
"issdm-6","with","stressng-cpu-crypt","cpu",false,"3",1.238017
"issdm-6","with","stressng-cpu-hsearch","cpu",false,"3",20.39585
"issdm-6","with","stressng-cpu-longjmp","cpu",false,"3",845.572188
"issdm-6","with","stressng-cpu-lsearch","cpu",false,"3",0.100001
"issdm-6","with","stressng-cpu-numa","cpu",false,"3",0.29996
"issdm-6","with","stressng-cpu-opcode","cpu",false,"3",30.300076
"issdm-6","with","stressng-cpu-str","cpu",false,"3",134.657612
"issdm-6","with","stressng-cpu-stream","cpu",false,"3",0.754668
"issdm-6","with","stressng-cpu-tsearch","cpu",false,"3",0.162557
"issdm-6","with","stressng-cpu-vecmath","cpu",false,"3",103.200042
"issdm-6","with","stressng-cpu-wcs","cpu",false,"3",82.872403
"issdm-6","with","stressng-cpu-cache-cache","cpu-cache",false,"3",0.495065
"issdm-6","with","stressng-cpu-cache-icache","cpu-cache",false,"3",2332.928923
"issdm-6","with","stressng-memory-context","memory",false,"3",50.400429
"issdm-6","with","stressng-memory-full","memory",false,"3",1368.616837
"issdm-6","with","stressng-memory-lockbus","memory",false,"3",20580.518668
"issdm-6","with","stressng-memory-malloc","memory",false,"3",5644.54613
"issdm-6","with","stressng-memory-matrix","memory",false,"3",32.800446
"issdm-6","with","stressng-memory-memcpy","memory",false,"3",2.815281
"issdm-6","with","stressng-memory-memfd","memory",false,"3",1538.065273
"issdm-6","with","stressng-memory-mincore","memory",false,"3",351.304674
"issdm-6","with","stressng-memory-null","memory",false,"3",61494.528729
"issdm-6","with","stressng-memory-pipe","memory",false,"3",4212.521561
