benchmark,base_result,machine,limits,class,lower_is_better,repetition,result,normalized
stressng-cpu-int64double,2.651071,issdm-6,with,cpu,False,3,59.100035,22.292890307351254
stressng-cpu-int32double,2.672973,issdm-6,with,cpu,False,3,59.299317,22.184779644238834
stressng-cpu-sqrt,5.177912,issdm-6,with,cpu,False,3,67.844382,13.102652575014794
stressng-cpu-gamma,0.197453,issdm-6,with,cpu,False,3,2.135977,10.817647744020094
stressng-cpu-nsqrt,0.171731,issdm-6,with,cpu,False,3,1.619047,9.427808607648007
stressng-cpu-euler,8487.934437,issdm-6,with,cpu,False,3,63621.855603,7.495563976750826
stressng-cpu-matrixprod,0.12742699999999998,issdm-6,with,cpu,False,3,0.899827,7.061509727137892
stressng-cpu-omega,4286.82895,issdm-6,with,cpu,False,3,28662.752252,6.6862365133556345
stressng-cpu-pi,1383.92681,issdm-6,with,cpu,False,3,8953.932095,6.469946264716125
stressng-cpu-hyperbolic,1.811796,issdm-6,with,cpu,False,3,8.798435000000003,4.8561951787066535
stressng-cpu-psi,3390.279704,issdm-6,with,cpu,False,3,15730.546268,4.639896303965839
stressng-cpu-int32float,41.627011,issdm-6,with,cpu,False,3,191.589108,4.6025189749991915
stressng-cpu-int128decimal64,2.650698,issdm-6,with,cpu,False,3,11.683455,4.407689974489738
stressng-cpu-int128decimal32,2.650698,issdm-6,with,cpu,False,3,10.295727,3.884156927722435
stressng-cpu-correlate,0.085737,issdm-6,with,cpu,False,3,0.33053,3.855161715478732
stressng-cpu-ln2,67.852788,issdm-6,with,cpu,False,3,256.937968,3.786697283536824
stressng-cpu-longdouble,2.672516,issdm-6,with,cpu,False,3,8.199197,3.0679692843747235
stressng-cpu-int32longdouble,2.661037,issdm-6,with,cpu,False,3,8.117414,3.05047017384576
stressng-cpu-trig,1.969468,issdm-6,with,cpu,False,3,5.499527,2.792392158694632
stressng-cpu-int128longdouble,2.650698,issdm-6,with,cpu,False,3,6.930209,2.6144845621794714
stressng-memory-matrix,13.803153,issdm-6,with,memory,False,3,32.800446,2.3763009799282817
stressng-matrix-prod,1.500338,issdm-6,with,matrix,False,3,3.465449,2.309778863162834
stressng-matrix-frobenius,200.744889,issdm-6,with,matrix,False,3,412.50355,2.0548645201123903
stressng-cpu-rgb,277.703913,issdm-6,with,cpu,False,3,553.303272,1.9924215904008529
stressng-cpu-explog,0.63089,issdm-6,with,cpu,False,3,1.237666,1.9617778059566644
stressng-matrix-mult,406.191314,issdm-6,with,matrix,False,3,792.307688,1.95057762362688
stressng-cpu-idct,105.588415,issdm-6,with,cpu,False,3,202.60158,1.918786071369667
