benchmark,base_result,machine,limits,class,lower_is_better,repetition,result,normalized
stressng-cpu-int32double,2.672973,rackform1,without,cpu,False,3,5907.992816,2210.2702930407454
stressng-cpu-int64double,2.651071,rackform1,without,cpu,False,3,5840.50933,2203.075409900376
stressng-cpu-sqrt,5.177912,rackform1,without,cpu,False,3,10230.777559,1975.850025840532
stressng-cpu-matrixprod,0.12742699999999998,rackform1,without,cpu,False,3,113.189958,888.2729562808513
stressng-cpu-nsqrt,0.171731,rackform1,without,cpu,False,3,137.987097,803.5072118604097
stressng-cpu-euler,8487.934437,rackform1,without,cpu,False,3,5958301.74877,701.9731117145526
stressng-cpu-int32float,41.627011,rackform1,without,cpu,False,3,24124.262693,579.5338678772781
stressng-matrix-div,143.032424,rackform1,without,matrix,False,3,74209.50431799999,518.8299424891238
stressng-cpu-correlate,0.085737,rackform1,without,cpu,False,3,38.056151,443.8708025706521
stressng-cpu-int128decimal64,2.650698,rackform1,without,cpu,False,3,1157.881476,436.82134894280676
stressng-cpu-int128decimal32,2.650698,rackform1,without,cpu,False,3,1128.600457,425.774817425448
stressng-cpu-gamma,0.197453,rackform1,without,cpu,False,3,80.333323,406.8478220133399
stressng-matrix-mult,406.191314,rackform1,without,matrix,False,3,159525.83405499998,392.73570989014297
stressng-cpu-omega,4286.82895,rackform1,without,cpu,False,3,1648450.95694,384.5385426306781
stressng-cpu-ln2,67.852788,rackform1,without,cpu,False,3,25154.620546,370.7234630653644
stressng-cpu-hyperbolic,1.811796,rackform1,without,cpu,False,3,611.0938219999998,337.28621875752015
stressng-cpu-pi,1383.92681,rackform1,without,cpu,False,3,440118.725197,318.0216771701966
stressng-cpu-psi,3390.279704,rackform1,without,cpu,False,3,1010196.44108,297.9684655186786
stressng-cpu-cpu,0.554323,rackform1,without,cpu,False,3,161.680244,291.6715416823765
stressng-matrix-sub,328.474305,rackform1,without,matrix,False,3,89963.349618,273.8824567054035
stressng-matrix-add,360.380801,rackform1,without,matrix,False,3,93710.702163,260.03244874024244
stressng-matrix-hadamard,402.791596,rackform1,without,matrix,False,3,93929.167269,233.1954494626546
stressng-cpu-fft,1.588453,rackform1,without,cpu,False,3,367.699343,231.48267087537369
stressng-cpu-longdouble,2.672516,rackform1,without,cpu,False,3,613.797366,229.67023059918068
stressng-cpu-int32longdouble,2.661037,rackform1,without,cpu,False,3,609.312314,228.9755136813205
stressng-cpu-trig,1.969468,rackform1,without,cpu,False,3,425.011852,215.8003338972758
stressng-cpu-idct,105.588415,rackform1,without,cpu,False,3,22785.829336000006,215.79857350827743
stressng-cpu-int128longdouble,2.650698,rackform1,without,cpu,False,3,565.993833,213.52633645930246
stressng-cpu-explog,0.63089,rackform1,without,cpu,False,3,126.810689,201.0028515272076
stressng-matrix-frobenius,200.744889,rackform1,without,matrix,False,3,38382.553739,191.20065238124192
stressng-memory-matrix,13.803153,rackform1,without,memory,False,3,2388.81908,173.06329068438203
stressng-cpu-rgb,277.703913,rackform1,without,cpu,False,3,46296.025831,166.710023387391
stressng-matrix-prod,1.500338,rackform1,without,matrix,False,3,244.20134500000003,162.76422046232253
stressng-cpu-double,41.178266,rackform1,without,cpu,False,3,6273.827523,152.3577394686799
stressng-cpu-cdouble,41.269077,rackform1,without,cpu,False,3,5603.90628,135.78947452592652
stressng-cpu-float,385.042348,rackform1,without,cpu,False,3,33649.687448000004,87.39217289418774
stressng-cpu-cfloat,40.008874,rackform1,without,cpu,False,3,3028.547001000001,75.69688167180112
stressng-cpu-int128double,39.29967,rackform1,without,cpu,False,3,2873.994244,73.13023859996791
stressng-cpu-int128decimal128,2.650698,rackform1,without,cpu,False,3,184.10489,69.45524914569671
stressng-cpu-int64float,371.587889,rackform1,without,cpu,False,3,23717.352023,63.827031841180364
stressng-cpu-zeta,4.408843,rackform1,without,cpu,False,3,257.616044,58.431666539271184
stressng-string-strcpy,1956.156411,rackform1,without,string,False,3,73313.04434,37.478109586606045
stressng-string-strcat,473.246385,rackform1,without,string,False,3,17652.026513999994,37.29986551085858
stressng-cpu-decimal64,44.270772,rackform1,without,cpu,False,3,1493.283124,33.73067729652422
stressng-string-rindex,1184.929397,rackform1,without,string,False,3,39356.341688,33.214081604897515
stressng-string-strrchr,1202.0035,rackform1,without,string,False,3,38941.75505,32.39737242861606
stressng-cpu-decimal32,44.270772,rackform1,without,cpu,False,3,1366.008907,30.85577335312789
stressng-string-strncmp,994.648214,rackform1,without,string,False,3,29435.046673,29.593424347112933
stressng-string-strncat,492.419007,rackform1,without,string,False,3,14484.666651,29.41532809475813
stressng-matrix-trans,1657.178824,rackform1,without,matrix,False,3,35425.798485,21.377173043698033
stressng-cpu-int128float,245.446388,rackform1,without,cpu,False,3,4601.924075,18.74920267720542
stressng-cpu-clongdouble,35.321269,rackform1,without,cpu,False,3,655.091285,18.546652018646327
stressng-string-strlen,4833.754268,rackform1,without,string,False,3,89106.246136,18.43416963205876
stressng-cpu-prime,0.371144,rackform1,without,cpu,False,3,6.605022,17.796386308279267
stressng-cpu-rand48,120.737833,rackform1,without,cpu,False,3,2124.021406,17.592011991800447
stressng-string-strchr,4233.78788,rackform1,without,string,False,3,70310.081622,16.606897561906194
stressng-string-index,4233.804741,rackform1,without,string,False,3,70020.845406,16.538515517241706
stressng-memory-str,1326.342712,rackform1,without,memory,False,3,21542.235899,16.241832298770152
stressng-cpu-str,1325.939887,rackform1,without,cpu,False,3,21424.498584,16.157971258013752
stressng-cpu-gray,1605.382855,rackform1,without,cpu,False,3,20035.143946,12.479978768678205
stressng-string-strcoll,2038.277691,rackform1,without,string,False,3,25212.795578,12.369656837891574
stressng-memory-memcpy,70.025444,rackform1,without,memory,False,3,865.782599,12.363828767726199
stressng-cpu-jmp,3323.58004,rackform1,without,cpu,False,3,39931.603773,12.014635812110605
stressng-cpu-ackermann,1.344893,rackform1,without,cpu,False,3,13.327056,9.909380151432119
stressng-cpu-sieve,1.949553,rackform1,without,cpu,False,3,18.220312,9.34589210962718
stressng-cpu-wcs,925.337688,rackform1,without,cpu,False,3,8597.682781,9.291400201782334
stressng-cpu-tsearch,1.670376,rackform1,without,cpu,False,3,13.970982,8.363974338711765
stressng-cpu-bsearch,40.688476,rackform1,without,cpu,False,3,338.283765,8.313994483351994
stressng-cpu-longjmp,9992.8894,rackform1,without,cpu,False,3,81755.50874199999,8.181368317956165
stressng-cpu-int128,613.545523,rackform1,without,cpu,False,3,4879.410703000001,7.95280956357007
stressng-cpu-hsearch,371.082226,rackform1,without,cpu,False,3,2798.356633,7.541068897759602
stressng-string-strxfrm,552.3283389999998,rackform1,without,string,False,3,4083.054247,7.392440254636292
stressng-cpu-callfunc,28821.929834,rackform1,without,cpu,False,3,202047.468255,7.010199158026303
stressng-cpu-fnv1a,11638.691738,rackform1,without,cpu,False,3,78766.174178,6.767614088517412
stressng-cpu-int32,5772.723277,rackform1,without,cpu,False,3,38983.390534,6.753032955748937
stressng-cpu-int64,5772.306863000002,rackform1,without,cpu,False,3,38263.891228,6.628873366602927
stressng-cpu-int16,5772.348435,rackform1,without,cpu,False,3,38044.129707,6.59075420262637
stressng-cpu-lsearch,0.900209,rackform1,without,cpu,False,3,5.800025,6.44297602001313
stressng-cpu-rand,1659.9056,rackform1,without,cpu,False,3,10483.819996,6.315913384471984
stressng-memory-malloc,281510.474126,rackform1,without,memory,False,3,1686290.79166,5.990152930882567
stressng-cpu-qsort,1.100214,rackform1,without,cpu,False,3,6.300008999999998,5.726166909346727
stressng-cpu-parity,3268.90182,rackform1,without,cpu,False,3,18052.809039,5.522591387893074
stressng-cpu-dither,15.7718,rackform1,without,cpu,False,3,84.915059,5.383980205176327
stressng-cpu-decimal128,35.360962,rackform1,without,cpu,False,3,190.125451,5.376704711823168
stressng-string-strcmp,14460.611857,rackform1,without,string,False,3,75715.010492,5.235947914288866
stressng-cpu-fibonacci,2492582.05995,rackform1,without,cpu,False,3,13015090.3959,5.2215293550500315
stressng-cpu-int8,5908.934274,rackform1,without,cpu,False,3,30499.115618,5.161525615913459
stressng-cpu-phi,2163412.79741,rackform1,without,cpu,False,3,11036201.9097,5.101292699623647
stressng-cpu-gcd,496.183508,rackform1,without,cpu,False,3,2465.486186,4.968899905476102
stressng-cpu-stream,4.67103,rackform1,without,cpu,False,3,23.095192,4.944346750074394
stressng-cpu-loop,4066.367797,rackform1,without,cpu,False,3,20057.987992,4.9326546425038
stressng-cpu-opcode,407.538883,rackform1,without,cpu,False,3,1924.214451,4.72154813016946
stressng-cpu-hanoi,31.940533,rackform1,without,cpu,False,3,150.325198,4.706408562436952
stressng-cpu-bitops,540.245816,rackform1,without,cpu,False,3,2390.854569,4.425493910720079
stressng-cpu-sdbm,18579.119201,rackform1,without,cpu,False,3,76591.268433,4.122438077090198
stressng-memory-full,33551.947426,rackform1,without,memory,False,3,134914.378134,4.021059535562233
