benchmark,base_result,machine,limits,class,lower_is_better,repetition,result,normalized
stressng-cpu-ackermann,1.3448930000000001,issdm-6,without,cpu,False,3,7.413836,5.512584272503463
stressng-cpu-ackermann,1.3448930000000001,kv1,without,cpu,False,4,1.344902,1.0000066919821873
stressng-cpu-ackermann,1.3448930000000001,rackform1,without,cpu,False,3,13.327055999999999,9.909380151432119
stressng-cpu-bitops,540.245816,issdm-6,without,cpu,False,3,1291.89769,2.3913145678114796
stressng-cpu-bitops,540.245816,kv1,without,cpu,False,4,540.244837,0.999998187861949
stressng-cpu-bitops,540.245816,rackform1,without,cpu,False,3,2390.854569,4.425493910720079
stressng-cpu-callfunc,28821.929834,issdm-6,without,cpu,False,3,180710.80185,6.2699063834658
stressng-cpu-callfunc,28821.929834,kv1,without,cpu,False,4,28926.830477,1.0036396120455562
stressng-cpu-callfunc,28821.929834,rackform1,without,cpu,False,3,202047.46825499999,7.010199158026303
stressng-cpu-cdouble,41.269077,issdm-6,without,cpu,False,3,2315.680124,56.111749821785445
stressng-cpu-cdouble,41.269077,kv1,without,cpu,False,4,41.086943,0.9955866713471686
stressng-cpu-cdouble,41.269077,rackform1,without,cpu,False,3,5603.90628,135.78947452592652
stressng-cpu-cfloat,40.008874,issdm-6,without,cpu,False,3,1618.4878449999999,40.45322157779297
stressng-cpu-cfloat,40.008874,kv1,without,cpu,False,4,40.050501000000004,1.0010404441774594
stressng-cpu-cfloat,40.008874,rackform1,without,cpu,False,3,3028.5470010000004,75.69688167180112
stressng-cpu-clongdouble,35.321269,issdm-6,without,cpu,False,3,983.3988039999999,27.841547935324744
stressng-cpu-clongdouble,35.321269,kv1,without,cpu,False,4,35.360962,1.0011237704964677
stressng-cpu-clongdouble,35.321269,rackform1,without,cpu,False,3,655.091285,18.546652018646327
stressng-cpu-correlate,0.085737,issdm-6,without,cpu,False,3,18.792917000000003,219.19261229107624
stressng-cpu-correlate,0.085737,kv1,without,cpu,False,4,0.083719,0.9764629039971076
stressng-cpu-correlate,0.085737,rackform1,without,cpu,False,3,38.056151,443.87080257065213
stressng-cpu-crc16,44.270771999999994,issdm-6,without,cpu,False,3,95.521739,2.157670505497397
stressng-cpu-crc16,44.270771999999994,kv1,without,cpu,False,4,44.268544,0.9999496733420417
stressng-cpu-crc16,44.270771999999994,rackform1,without,cpu,False,3,146.682192,3.3132964566328322
stressng-cpu-decimal32,44.270771999999994,issdm-6,without,cpu,False,3,737.658758,16.66243267680085
stressng-cpu-decimal32,44.270771999999994,kv1,without,cpu,False,4,44.268544,0.9999496733420417
stressng-cpu-decimal32,44.270771999999994,rackform1,without,cpu,False,3,1366.0089070000001,30.85577335312789
stressng-cpu-decimal64,44.270771999999994,issdm-6,without,cpu,False,3,869.534012,19.641266070535206
stressng-cpu-decimal64,44.270771999999994,kv1,without,cpu,False,4,44.268544,0.9999496733420417
stressng-cpu-decimal64,44.270771999999994,rackform1,without,cpu,False,3,1493.283124,33.73067729652422
stressng-cpu-decimal128,35.360962,issdm-6,without,cpu,False,3,136.431893,3.858263047255332
stressng-cpu-decimal128,35.360962,kv1,without,cpu,False,4,44.268544,1.2519044023745733
stressng-cpu-decimal128,35.360962,rackform1,without,cpu,False,3,190.125451,5.376704711823168
stressng-cpu-dither,15.7718,issdm-6,without,cpu,False,3,97.103799,6.156798780101193
stressng-cpu-dither,15.7718,kv1,without,cpu,False,4,15.604507,0.9893929037903092
stressng-cpu-dither,15.7718,rackform1,without,cpu,False,3,84.915059,5.383980205176327
stressng-cpu-djb2a,21835.876491,issdm-6,without,cpu,False,3,55321.410198000005,2.5335099427220884
stressng-cpu-djb2a,21835.876491,kv1,without,cpu,False,4,21835.251406,0.9999713734871024
stressng-cpu-djb2a,21835.876491,rackform1,without,cpu,False,3,78468.936752,3.5935785213083706
stressng-cpu-double,41.178266,issdm-6,without,cpu,False,3,3629.630684,88.14433040963891
stressng-cpu-double,41.178266,kv1,without,cpu,False,4,41.229794,1.001251339723727
stressng-cpu-double,41.178266,rackform1,without,cpu,False,3,6273.827523,152.3577394686799
stressng-cpu-euler,8487.934437,issdm-6,without,cpu,False,3,3668892.0277199997,432.24792261905634
stressng-cpu-euler,8487.934437,kv1,without,cpu,False,4,8496.315888,1.0009874547290873
stressng-cpu-euler,8487.934437,rackform1,without,cpu,False,3,5958301.7487699995,701.9731117145526
stressng-cpu-explog,0.63089,issdm-6,without,cpu,False,3,73.551369,116.5835074260172
stressng-cpu-explog,0.63089,kv1,without,cpu,False,4,0.639598,1.0138027231371556
stressng-cpu-explog,0.63089,rackform1,without,cpu,False,3,126.810689,201.0028515272076
stressng-cpu-fft,1.5884530000000001,issdm-6,without,cpu,False,3,157.708954,99.28462094880994
stressng-cpu-fft,1.5884530000000001,kv1,without,cpu,False,4,1.605746,1.0108866929018359
stressng-cpu-fft,1.5884530000000001,rackform1,without,cpu,False,3,367.699343,231.48267087537369
stressng-cpu-fibonacci,2492582.05995,issdm-6,without,cpu,False,3,9502092.46483,3.812148300955278
stressng-cpu-fibonacci,2492582.05995,kv1,without,cpu,False,4,2492574.33176,0.9999968995243429
stressng-cpu-fibonacci,2492582.05995,rackform1,without,cpu,False,3,13015090.3959,5.221529355050031
stressng-cpu-float,385.042348,issdm-6,without,cpu,False,3,15379.618437000001,39.94266738940622
stressng-cpu-float,385.042348,kv1,without,cpu,False,4,385.084953,1.0001106501667187
stressng-cpu-float,385.042348,rackform1,without,cpu,False,3,33649.687448000004,87.39217289418774
stressng-cpu-fnv1a,11638.691738,issdm-6,without,cpu,False,3,56617.153551999996,4.864563374176033
stressng-cpu-fnv1a,11638.691738,kv1,without,cpu,False,4,11638.805916,1.0000098102091344
stressng-cpu-fnv1a,11638.691738,rackform1,without,cpu,False,3,78766.174178,6.767614088517412
stressng-cpu-gamma,0.197453,issdm-6,without,cpu,False,3,122.824428,622.0438686674804
stressng-cpu-gamma,0.197453,kv1,without,cpu,False,4,0.197201,0.9987237469169878
stressng-cpu-gamma,0.197453,rackform1,without,cpu,False,3,80.333323,406.84782201333985
stressng-cpu-gcd,496.183508,issdm-6,without,cpu,False,3,630.7252030000001,1.2711530972528817
stressng-cpu-gcd,496.183508,kv1,without,cpu,False,4,496.168375,0.9999695012031719
stressng-cpu-gcd,496.183508,rackform1,without,cpu,False,3,2465.486186,4.968899905476101
stressng-cpu-gray,1605.382855,issdm-6,without,cpu,False,3,3658.960133,2.2791822658402565
stressng-cpu-gray,1605.382855,kv1,without,cpu,False,4,1605.310782,0.999955105413157
stressng-cpu-gray,1605.382855,rackform1,without,cpu,False,3,20035.143946,12.479978768678205
stressng-cpu-hamming,140.566785,issdm-6,without,cpu,False,3,285.928291,2.0341099143727304
stressng-cpu-hamming,140.566785,kv1,without,cpu,False,4,140.563578,0.9999771852219569
stressng-cpu-hamming,140.566785,rackform1,without,cpu,False,3,507.510629,3.610459106680145
stressng-cpu-hanoi,31.940533000000002,issdm-6,without,cpu,False,3,84.48039200000001,2.6449274343668594
stressng-cpu-hanoi,31.940533000000002,kv1,without,cpu,False,4,31.937472999999997,0.9999041969650285
stressng-cpu-hanoi,31.940533000000002,rackform1,without,cpu,False,3,150.325198,4.706408562436951
stressng-cpu-hyperbolic,1.811796,issdm-6,without,cpu,False,3,505.045802,278.75423171262105
stressng-cpu-hyperbolic,1.811796,kv1,without,cpu,False,4,1.813402,1.000886413260654
stressng-cpu-hyperbolic,1.811796,rackform1,without,cpu,False,3,611.0938219999999,337.28621875752015
stressng-cpu-idct,105.588415,issdm-6,without,cpu,False,3,11590.876548,109.77413145182642
stressng-cpu-idct,105.588415,kv1,without,cpu,False,4,105.44613899999999,0.9986525415690726
stressng-cpu-idct,105.588415,rackform1,without,cpu,False,3,22785.829336000003,215.79857350827743
stressng-cpu-int128,613.545523,issdm-6,without,cpu,False,3,2922.1953320000002,4.762801165448322
stressng-cpu-int128,613.545523,kv1,without,cpu,False,4,613.517736,0.9999547107770193
stressng-cpu-int128,613.545523,rackform1,without,cpu,False,3,4879.4107030000005,7.95280956357007
stressng-cpu-int64,5772.306863000001,issdm-6,without,cpu,False,3,28206.760727999997,4.886566393204587
stressng-cpu-int64,5772.306863000001,kv1,without,cpu,False,4,5772.275065999999,0.9999944914570975
stressng-cpu-int64,5772.306863000001,rackform1,without,cpu,False,3,38263.891228,6.628873366602928
stressng-cpu-int32,5772.723277,issdm-6,without,cpu,False,3,33389.123693,5.783946690469431
stressng-cpu-int32,5772.723277,kv1,without,cpu,False,4,5772.577472,0.9999747424234623
stressng-cpu-int32,5772.723277,rackform1,without,cpu,False,3,38983.390534,6.753032955748937
stressng-cpu-int16,5772.348435,issdm-6,without,cpu,False,3,37088.075001,6.425127557463533
stressng-cpu-int16,5772.348435,kv1,without,cpu,False,4,5772.124802,0.9999612578827287
stressng-cpu-int16,5772.348435,rackform1,without,cpu,False,3,38044.129707,6.59075420262637
stressng-cpu-int8,5908.934274,issdm-6,without,cpu,False,3,33381.510906999996,5.649328518322252
stressng-cpu-int8,5908.934274,kv1,without,cpu,False,4,5908.656731,0.9999530299395576
stressng-cpu-int8,5908.934274,rackform1,without,cpu,False,3,30499.115618,5.161525615913459
stressng-cpu-int128float,245.44638799999998,issdm-6,without,cpu,False,3,2494.517723,10.163187746726996
stressng-cpu-int128float,245.44638799999998,kv1,without,cpu,False,4,2.6506979999999998,0.010799498911346782
stressng-cpu-int128float,245.44638799999998,rackform1,without,cpu,False,3,4601.924075,18.74920267720542
stressng-cpu-int128double,39.29967,issdm-6,without,cpu,False,3,1685.0145899999998,42.87604934087232
stressng-cpu-int128double,39.29967,kv1,without,cpu,False,4,38.931605,0.9906343997290562
stressng-cpu-int128double,39.29967,rackform1,without,cpu,False,3,2873.994244,73.1302385999679
stressng-cpu-int128longdouble,2.6506979999999998,issdm-6,without,cpu,False,3,402.41002599999996,151.81285306738073
stressng-cpu-int128longdouble,2.6506979999999998,kv1,without,cpu,False,4,2.651071,1.0001407176524826
stressng-cpu-int128longdouble,2.6506979999999998,rackform1,without,cpu,False,3,565.993833,213.52633645930243
stressng-cpu-int128decimal32,2.6506979999999998,issdm-6,without,cpu,False,3,591.077945,222.98954652699027
stressng-cpu-int128decimal32,2.6506979999999998,kv1,without,cpu,False,4,2.651071,1.0001407176524826
stressng-cpu-int128decimal32,2.6506979999999998,rackform1,without,cpu,False,3,1128.600457,425.77481742544796
stressng-cpu-int128decimal64,2.6506979999999998,issdm-6,without,cpu,False,3,645.217146,243.4140539586177
stressng-cpu-int128decimal64,2.6506979999999998,kv1,without,cpu,False,4,41.510884999999995,15.660360025925247
stressng-cpu-int128decimal64,2.6506979999999998,rackform1,without,cpu,False,3,1157.881476,436.8213489428068
stressng-cpu-int128decimal128,2.6506979999999998,issdm-6,without,cpu,False,3,131.041426,49.43657331012436
stressng-cpu-int128decimal128,2.6506979999999998,kv1,without,cpu,False,4,2.651071,1.0001407176524826
stressng-cpu-int128decimal128,2.6506979999999998,rackform1,without,cpu,False,3,184.10488999999998,69.45524914569671
stressng-cpu-int64float,371.587889,issdm-6,without,cpu,False,3,10246.297069,27.574356894608048
stressng-cpu-int64float,371.587889,kv1,without,cpu,False,4,371.986874,1.0010737298276156
stressng-cpu-int64float,371.587889,rackform1,without,cpu,False,3,23717.352023,63.82703184118037
stressng-cpu-int64double,2.651071,issdm-6,without,cpu,False,3,3407.650197,1285.386244653576
stressng-cpu-int64double,2.651071,kv1,without,cpu,False,4,41.627010999999996,15.70196007575806
stressng-cpu-int64double,2.651071,rackform1,without,cpu,False,3,5840.50933,2203.075409900376
stressng-cpu-int64longdouble,371.986874,issdm-6,without,cpu,False,3,461.49123099999997,1.24061160018243
stressng-cpu-int64longdouble,371.986874,kv1,without,cpu,False,4,2.672973,0.007185664836119997
stressng-cpu-int64longdouble,371.986874,rackform1,without,cpu,False,3,602.69779,1.6202125185739755
stressng-cpu-int32float,41.627010999999996,issdm-6,without,cpu,False,3,11938.417931999998,286.7949834783958
stressng-cpu-int32float,41.627010999999996,kv1,without,cpu,False,4,2.661037,0.06392572841706075
stressng-cpu-int32float,41.627010999999996,rackform1,without,cpu,False,3,24124.262693,579.5338678772781
stressng-cpu-int32double,2.672973,issdm-6,without,cpu,False,3,3411.7027659999994,1276.3700815533864
stressng-cpu-int32double,2.672973,kv1,without,cpu,False,4,471476.43180699996,176386.52983288644
stressng-cpu-int32double,2.672973,rackform1,without,cpu,False,3,5907.992816,2210.2702930407454
stressng-cpu-int32longdouble,2.661037,issdm-6,without,cpu,False,3,461.85325599999993,173.561380769978
stressng-cpu-int32longdouble,2.661037,kv1,without,cpu,False,4,3323.58004,1248.979266353681
stressng-cpu-int32longdouble,2.661037,rackform1,without,cpu,False,3,609.312314,228.9755136813205
stressng-cpu-jenkin,471476.43180699996,issdm-6,without,cpu,False,3,17104.186859999998,0.03627792548281955
stressng-cpu-jenkin,471476.43180699996,kv1,without,cpu,False,4,471463.211286,0.9999719593173527
stressng-cpu-jenkin,471476.43180699996,rackform1,without,cpu,False,3,27923.03595,0.05922466971038409
stressng-cpu-jmp,3323.58004,issdm-6,without,cpu,False,3,22294.738202,6.708049131863243
stressng-cpu-jmp,3323.58004,kv1,without,cpu,False,4,3323.5181420000004,0.9999813761067119
stressng-cpu-jmp,3323.58004,rackform1,without,cpu,False,3,39931.603773,12.014635812110606
stressng-cpu-ln2,67.852788,issdm-6,without,cpu,False,3,14811.288634999999,218.28563087194
stressng-cpu-ln2,67.852788,kv1,without,cpu,False,4,67.811406,0.9993901208598828
stressng-cpu-ln2,67.852788,rackform1,without,cpu,False,3,25154.620546000002,370.7234630653644
stressng-cpu-longdouble,2.672516,issdm-6,without,cpu,False,3,472.7594,176.89675197454386
stressng-cpu-longdouble,2.672516,kv1,without,cpu,False,4,2.673283,1.0002869954754248
stressng-cpu-longdouble,2.672516,rackform1,without,cpu,False,3,613.797366,229.6702305991807
stressng-cpu-loop,4066.367797,issdm-6,without,cpu,False,3,13610.450297,3.347078025514867
stressng-cpu-loop,4066.367797,kv1,without,cpu,False,4,4066.279121,0.9999781928235647
