machine,limits,benchmark,class,lower_is_better,repetition,result
"issdm-6","without","stressng-cpu-ackermann","cpu",false,"3",7.413836
"issdm-6","without","stressng-cpu-bitops","cpu",false,"3",1291.89769
"issdm-6","without","stressng-cpu-callfunc","cpu",false,"3",180710.80185
"issdm-6","without","stressng-cpu-cdouble","cpu",false,"3",2315.680124
"issdm-6","without","stressng-cpu-cfloat","cpu",false,"3",1618.487845
"issdm-6","without","stressng-cpu-clongdouble","cpu",false,"3",983.398804
"issdm-6","without","stressng-cpu-correlate","cpu",false,"3",18.792917
"issdm-6","without","stressng-cpu-crc16","cpu",false,"3",95.521739
"issdm-6","without","stressng-cpu-decimal32","cpu",false,"3",737.658758
"issdm-6","without","stressng-cpu-decimal64","cpu",false,"3",869.534012
"issdm-6","without","stressng-cpu-decimal128","cpu",false,"3",136.431893
"issdm-6","without","stressng-cpu-dither","cpu",false,"3",97.103799
"issdm-6","without","stressng-cpu-djb2a","cpu",false,"3",55321.410198
"issdm-6","without","stressng-cpu-double","cpu",false,"3",3629.630684
"issdm-6","without","stressng-cpu-euler","cpu",false,"3",3668892.02772
"issdm-6","without","stressng-cpu-explog","cpu",false,"3",73.551369
"issdm-6","without","stressng-cpu-fft","cpu",false,"3",157.708954
"issdm-6","without","stressng-cpu-fibonacci","cpu",false,"3",9502092.46483
"issdm-6","without","stressng-cpu-float","cpu",false,"3",15379.618437
"issdm-6","without","stressng-cpu-fnv1a","cpu",false,"3",56617.153552
"issdm-6","without","stressng-cpu-gamma","cpu",false,"3",122.824428
"issdm-6","without","stressng-cpu-gcd","cpu",false,"3",630.725203
"issdm-6","without","stressng-cpu-gray","cpu",false,"3",3658.960133
"issdm-6","without","stressng-cpu-hamming","cpu",false,"3",285.928291
"issdm-6","without","stressng-cpu-hanoi","cpu",false,"3",84.480392
"issdm-6","without","stressng-cpu-hyperbolic","cpu",false,"3",505.045802
"issdm-6","without","stressng-cpu-idct","cpu",false,"3",11590.876548
"issdm-6","without","stressng-cpu-int128","cpu",false,"3",2922.195332
"issdm-6","without","stressng-cpu-int64","cpu",false,"3",28206.760728
"issdm-6","without","stressng-cpu-int32","cpu",false,"3",33389.123693
"issdm-6","without","stressng-cpu-int16","cpu",false,"3",37088.075001
"issdm-6","without","stressng-cpu-int8","cpu",false,"3",33381.510907
"issdm-6","without","stressng-cpu-int128float","cpu",false,"3",2494.517723
"issdm-6","without","stressng-cpu-int128double","cpu",false,"3",1685.01459
"issdm-6","without","stressng-cpu-int128longdouble","cpu",false,"3",402.410026
"issdm-6","without","stressng-cpu-int128decimal32","cpu",false,"3",591.077945
"issdm-6","without","stressng-cpu-int128decimal64","cpu",false,"3",645.217146
"issdm-6","without","stressng-cpu-int128decimal128","cpu",false,"3",131.041426
"issdm-6","without","stressng-cpu-int64float","cpu",false,"3",10246.297069
"issdm-6","without","stressng-cpu-int64double","cpu",false,"3",3407.650197
"issdm-6","without","stressng-cpu-int64longdouble","cpu",false,"3",461.491231
"issdm-6","without","stressng-cpu-int32float","cpu",false,"3",11938.417932
"issdm-6","without","stressng-cpu-int32double","cpu",false,"3",3411.702766
"issdm-6","without","stressng-cpu-int32longdouble","cpu",false,"3",461.853256
"issdm-6","without","stressng-cpu-jenkin","cpu",false,"3",17104.18686
"issdm-6","without","stressng-cpu-jmp","cpu",false,"3",22294.738202
"issdm-6","without","stressng-cpu-ln2","cpu",false,"3",14811.288635
"issdm-6","without","stressng-cpu-longdouble","cpu",false,"3",472.7594
"issdm-6","without","stressng-cpu-loop","cpu",false,"3",13610.450297
"issdm-6","without","stressng-cpu-matrixprod","cpu",false,"3",50.049269
"issdm-6","without","stressng-cpu-nsqrt","cpu",false,"3",92.670411
"issdm-6","without","stressng-cpu-omega","cpu",false,"3",1754102.51932
"issdm-6","without","stressng-cpu-parity","cpu",false,"3",10833.48007
"issdm-6","without","stressng-cpu-phi","cpu",false,"3",7160976.93632
"issdm-6","without","stressng-cpu-pi","cpu",false,"3",517468.163538
"issdm-6","without","stressng-cpu-pjw","cpu",false,"3",29055.091885
"issdm-6","without","stressng-cpu-prime","cpu",false,"3",2.159644
"issdm-6","without","stressng-cpu-psi","cpu",false,"3",897067.75739
"issdm-6","without","stressng-cpu-queens","cpu",false,"3",57.014456
"issdm-6","without","stressng-cpu-rand","cpu",false,"3",12235.946385
"issdm-6","without","stressng-cpu-rand48","cpu",false,"3",1474.256204
"issdm-6","without","stressng-cpu-rgb","cpu",false,"3",31811.736109
