benchmark,base_result,machine,limits,class,lower_is_better,repetition,result,normalized
stressng-cpu-sieve,1.949553,issdm-6,without,cpu,False,3,8.549847,4.3855422242944915
stressng-cpu-opcode,407.538883,issdm-6,without,cpu,False,3,1749.206131,4.29212083549829
stressng-cpu-int128double,39.29967,issdm-6,with,cpu,False,1,167.492996,4.261944082482118
stressng-cpu-tsearch,1.670376,issdm-6,without,cpu,False,3,7.037773,4.213286709100227
stressng-cpu-cfloat,40.008874,issdm-6,with,cpu,False,1,160.300367,4.0066203062850505
stressng-cpu-decimal128,35.360962,issdm-6,without,cpu,False,3,136.431893,3.858263047255332
stressng-cpu-fibonacci,2492582.05995,issdm-6,without,cpu,False,3,9502092.46483,3.812148300955278
stressng-cpu-qsort,1.100214,issdm-6,without,cpu,False,3,3.699975,3.362959387900899
stressng-cpu-loop,4066.367797,issdm-6,without,cpu,False,3,13610.450297,3.347078025514867
stressng-cpu-hsearch,371.082226,issdm-6,without,cpu,False,3,1239.46705,3.3401412494491183
stressng-cpu-parity,3268.90182,issdm-6,without,cpu,False,3,10833.48007,3.314103838701402
stressng-cpu-phi,2163412.79741,issdm-6,without,cpu,False,3,7160976.936319998,3.3100372452696023
stressng-cpu-float,385.042348,issdm-6,with,cpu,False,1,1268.505081,3.2944560191597416
stressng-cpu-sdbm,18579.119201,issdm-6,without,cpu,False,3,54926.600249,2.9563619057917263
stressng-cpu-clongdouble,35.321269,issdm-6,with,cpu,False,1,100.091063,2.8337334935503025
stressng-memory-remap,121.64104,issdm-6,without,memory,False,3,342.478909,2.8154881691244995
stressng-cpu-queens,20.599903,issdm-6,without,cpu,False,3,57.014456,2.767705071232617
stressng-cpu-int64float,371.587889,issdm-6,with,cpu,False,1,1028.304952,2.7673263376998807
stressng-cpu-hanoi,31.940533,issdm-6,without,cpu,False,3,84.48039200000002,2.6449274343668594
stressng-memory-malloc,281510.474126,issdm-6,without,memory,False,3,734728.667898,2.609951442052369
stressng-cpu-djb2a,21835.876491,issdm-6,without,cpu,False,3,55321.41019800001,2.5335099427220884
stressng-memory-mincore,8089.20991,issdm-6,without,memory,False,3,19990.962142,2.471312076756332
stressng-cpu-bitops,540.245816,issdm-6,without,cpu,False,3,1291.89769,2.39131456781148
stressng-memory-full,33551.947426,issdm-6,without,memory,False,3,79792.234076,2.378169978120781
stressng-string-strcmp,14460.611857,issdm-6,without,string,False,3,33940.005066000005,2.3470656291469814
stressng-memory-memcpy,70.025444,issdm-6,without,memory,False,3,161.819347,2.3108649907310834
stressng-memory-zero,37502.320117,issdm-6,without,memory,False,3,86322.470206,2.3017901275625228
stressng-cpu-gray,1605.382855,issdm-6,without,cpu,False,3,3658.960133,2.2791822658402565
stressng-cpu-pjw,12834.940439,issdm-6,without,cpu,False,3,29055.091885,2.2637496467621903
stressng-memory-null,1691160.90765,issdm-6,without,memory,False,3,3786649.15852,2.2390827161336437
stressng-cpu-crc16,44.270772,issdm-6,without,cpu,False,3,95.521739,2.157670505497397
stressng-cpu-hamming,140.566785,issdm-6,without,cpu,False,3,285.928291,2.0341099143727304
stressng-cpu-decimal64,44.270772,issdm-6,with,cpu,False,1,86.69152199999998,1.9582112098700244
stressng-memory-pipe,107971.197056,issdm-6,without,memory,False,3,209311.021138,1.9385820185863036
stressng-matrix-trans,1657.178824,issdm-6,with,matrix,False,1,2940.754519,1.7745547290435326
stressng-cpu-union,9992.295155,issdm-6,without,cpu,False,3,17277.637997,1.7290960413989094
