benchmark,base_result,machine,limits,class,lower_is_better,repetition,result,normalized
stressng-cpu-ackermann,1.3448930000000001,issdm-6,with,cpu,False,1,0.075737,0.05631451721438062
stressng-cpu-bitops,540.245816,issdm-6,with,cpu,False,1,12.8998,0.02387764905892395
stressng-cpu-callfunc,28821.929834,issdm-6,with,cpu,False,1,1745.5887850000001,0.06056460462757784
stressng-cpu-cdouble,41.269077,issdm-6,with,cpu,False,1,22.599536999999998,0.5476143069543328
stressng-cpu-cfloat,40.008874,issdm-6,with,cpu,False,1,15.940895999999999,0.39843400741545487
stressng-cpu-clongdouble,35.321269,issdm-6,with,cpu,False,1,9.801703999999999,0.2775014680248323
stressng-cpu-correlate,0.085737,issdm-6,with,cpu,False,1,0.19043,2.2210947432263786
stressng-cpu-crc16,44.270771999999994,issdm-6,with,cpu,False,1,0.961442,0.021717308205061348
stressng-cpu-decimal32,44.270771999999994,issdm-6,with,cpu,False,1,7.299228,0.1648769079518198
stressng-cpu-decimal64,44.270771999999994,issdm-6,with,cpu,False,1,8.399713,0.18973495650809977
stressng-cpu-decimal128,35.360962,issdm-6,with,cpu,False,1,1.385993,0.03919556826536563
stressng-cpu-dither,15.7718,issdm-6,with,cpu,False,1,0.9615100000000001,0.06096387222764681
stressng-cpu-djb2a,21835.876491,issdm-6,with,cpu,False,1,551.005452,0.025233951667894147
stressng-cpu-double,41.178266,issdm-6,with,cpu,False,1,35.841815000000004,0.870406126377444
stressng-cpu-euler,8487.934437,issdm-6,with,cpu,False,1,36535.410973000005,4.304393635951928
stressng-cpu-explog,0.63089,issdm-6,with,cpu,False,1,0.673003,1.0667517316806416
stressng-cpu-fft,1.5884530000000001,issdm-6,with,cpu,False,1,1.584027,0.9972136411968122
stressng-cpu-fibonacci,2492582.05995,issdm-6,with,cpu,False,1,93363.61487,0.03745658623246002
stressng-cpu-float,385.042348,issdm-6,with,cpu,False,1,151.78581599999998,0.39420551216875493
stressng-cpu-fnv1a,11638.691738,issdm-6,with,cpu,False,1,559.125401,0.04804022768078575
stressng-cpu-gamma,0.197453,issdm-6,with,cpu,False,1,1.249729,6.329247972935332
stressng-cpu-gcd,496.183508,issdm-6,with,cpu,False,1,6.299851,0.012696615059604118
stressng-cpu-gray,1605.382855,issdm-6,with,cpu,False,1,36.499715,0.022735832070412885
stressng-cpu-hamming,140.566785,issdm-6,with,cpu,False,1,2.999777,0.021340581987416157
stressng-cpu-hanoi,31.940533000000002,issdm-6,with,cpu,False,1,0.8570639999999999,0.02683311515183544
stressng-cpu-hyperbolic,1.811796,issdm-6,with,cpu,False,1,4.999666,2.759508244857589
stressng-cpu-idct,105.588415,issdm-6,with,cpu,False,1,115.40083100000001,1.0929308011679124
stressng-cpu-int128,613.545523,issdm-6,with,cpu,False,1,29.100073,0.047429362466393545
stressng-cpu-int64,5772.306863000001,issdm-6,with,cpu,False,1,282.001721,0.048854249729446506
stressng-cpu-int32,5772.723277,issdm-6,with,cpu,False,1,332.40256,0.057581585683203707
stressng-cpu-int16,5772.348435,issdm-6,with,cpu,False,1,325.850618,0.05645026832133705
stressng-cpu-int8,5908.934274,issdm-6,with,cpu,False,1,329.712337,0.055798951504803955
stressng-cpu-int128float,245.44638799999998,issdm-6,with,cpu,False,1,25.347186999999998,0.1032697494819113
stressng-cpu-int128double,39.29967,issdm-6,with,cpu,False,1,16.79965,0.42747559966788523
stressng-cpu-int128longdouble,2.6506979999999998,issdm-6,with,cpu,False,1,3.999073,1.50868676854172
stressng-cpu-int128decimal32,2.6506979999999998,issdm-6,with,cpu,False,1,5.899868,2.2257790212238437
stressng-cpu-int128decimal64,2.6506979999999998,issdm-6,with,cpu,False,1,6.699549,2.527465973113497
stressng-cpu-int128decimal128,2.6506979999999998,issdm-6,with,cpu,False,1,1.345711,0.50768175024088
stressng-cpu-int64float,371.587889,issdm-6,with,cpu,False,1,91.58673399999999,0.24647394791707
stressng-cpu-int64double,2.651071,issdm-6,with,cpu,False,1,33.66363,12.698124644719059
stressng-cpu-int64longdouble,371.986874,issdm-6,with,cpu,False,1,4.699429,0.012633319421910571
stressng-cpu-int32float,41.627010999999996,issdm-6,with,cpu,False,1,115.3003,2.7698433596397303
stressng-cpu-int32double,2.672973,issdm-6,with,cpu,False,1,33.66383,12.594152653244159
stressng-cpu-int32longdouble,2.661037,issdm-6,with,cpu,False,1,4.6528529999999995,1.748511200708596
stressng-cpu-jenkin,471476.43180699996,issdm-6,with,cpu,False,1,170.20112,0.00036099602974358697
stressng-cpu-jmp,3323.58004,issdm-6,with,cpu,False,1,179.40102199999998,0.05397824630093759
stressng-cpu-ln2,67.852788,issdm-6,with,cpu,False,1,147.500767,2.1738350235512796
stressng-cpu-longdouble,2.672516,issdm-6,with,cpu,False,1,4.7516620000000005,1.777973265641815
stressng-cpu-loop,4066.367797,issdm-6,with,cpu,False,1,135.700705,0.033371478374414246
stressng-cpu-matrixprod,0.12742699999999998,issdm-6,with,cpu,False,1,0.512677,4.023299614681348
stressng-cpu-nsqrt,0.171731,issdm-6,with,cpu,False,1,0.9259370000000001,5.391787155493185
stressng-cpu-omega,4286.82895,issdm-6,with,cpu,False,1,16282.552953,3.798274468823861
stressng-cpu-parity,3268.90182,issdm-6,with,cpu,False,1,107.90043200000001,0.03300815929675123
stressng-cpu-phi,2163412.7974099996,issdm-6,with,cpu,False,1,70734.461425,0.03269577655715177
stressng-cpu-pi,1383.92681,issdm-6,with,cpu,False,1,5230.250129,3.7792823227407526
stressng-cpu-pjw,12834.940439,issdm-6,with,cpu,False,1,289.301973,0.022540188197596355
stressng-cpu-prime,0.37114400000000003,issdm-6,with,cpu,False,1,0.02169,0.058440928588364624
stressng-cpu-psi,3390.279704,issdm-6,with,cpu,False,1,8857.499620999999,2.612616183422723
