benchmark,base_result,machine,limits,class,lower_is_better,repetition,result,normalized
stressng-cpu-ackermann,1.3448930000000001,issdm-6,with,cpu,False,1,0.738698,0.549261539765617
stressng-cpu-bitops,540.245816,issdm-6,with,cpu,False,1,128.87763,0.2385536846064163
stressng-cpu-callfunc,28821.929834,issdm-6,with,cpu,False,1,17637.443025,0.6119452488637268
stressng-cpu-cdouble,41.269077,issdm-6,with,cpu,False,1,225.798848,5.471381102126418
stressng-cpu-cfloat,40.008874,issdm-6,with,cpu,False,1,160.300367,4.0066203062850505
stressng-cpu-clongdouble,35.321269,issdm-6,with,cpu,False,1,100.091063,2.8337334935503025
stressng-cpu-correlate,0.085737,issdm-6,with,cpu,False,1,1.869618,21.806431295706638
stressng-cpu-crc16,44.270771999999994,issdm-6,with,cpu,False,1,9.550258,0.21572377368978343
stressng-cpu-decimal32,44.270771999999994,issdm-6,with,cpu,False,1,72.156559,1.6298915907768676
stressng-cpu-decimal64,44.270771999999994,issdm-6,with,cpu,False,1,86.69152199999999,1.9582112098700244
stressng-cpu-decimal128,35.360962,issdm-6,with,cpu,False,1,13.898575,0.3930485545048237
stressng-cpu-dither,15.7718,issdm-6,with,cpu,False,1,9.629932,0.6105791349116778
stressng-cpu-djb2a,21835.876491,issdm-6,with,cpu,False,1,5520.639222999999,0.2528242557735394
stressng-cpu-double,41.178266,issdm-6,with,cpu,False,1,361.797033,8.786116273084447
stressng-cpu-euler,8487.934437,issdm-6,with,cpu,False,1,365865.265207,43.10415778097274
stressng-cpu-explog,0.63089,issdm-6,with,cpu,False,1,7.135680000000001,11.310497868091112
stressng-cpu-fft,1.5884530000000001,issdm-6,with,cpu,False,1,15.89834,10.00869399346408
stressng-cpu-fibonacci,2492582.05995,issdm-6,with,cpu,False,1,903164.7577799999,0.3623410327353944
stressng-cpu-float,385.042348,issdm-6,with,cpu,False,1,1268.505081,3.294456019159742
stressng-cpu-fnv1a,11638.691738,issdm-6,with,cpu,False,1,5649.846338,0.48543654778254947
stressng-cpu-gamma,0.197453,issdm-6,with,cpu,False,1,12.28455,62.21505877348027
stressng-cpu-gcd,496.183508,issdm-6,with,cpu,False,1,62.697398,0.1263592944729634
stressng-cpu-gray,1605.382855,issdm-6,with,cpu,False,1,364.954823,0.22733195503075182
stressng-cpu-hamming,140.566785,issdm-6,with,cpu,False,1,29.969472999999997,0.21320451342754973
stressng-cpu-hanoi,31.940533000000002,issdm-6,with,cpu,False,1,8.530594,0.2670773840874853
stressng-cpu-hyperbolic,1.811796,issdm-6,with,cpu,False,1,51.544383,28.449330388189402
stressng-cpu-idct,105.588415,issdm-6,with,cpu,False,1,1146.610087,10.859241394995843
stressng-cpu-int128,613.545523,issdm-6,with,cpu,False,1,291.430457,0.4749940242005482
stressng-cpu-int64,5772.306863000001,issdm-6,with,cpu,False,1,2802.221312,0.48545951878650145
stressng-cpu-int32,5772.723277,issdm-6,with,cpu,False,1,3314.447464,0.5741566510221618
