machine,limits,benchmark,class,lower_is_better,repetition,result
"issdm-6","with","stressng-cpu-ackermann","cpu",false,"1",2.776777
"issdm-6","with","stressng-cpu-bitops","cpu",false,"1",483.40888
"issdm-6","with","stressng-cpu-callfunc","cpu",false,"1",66173.444098
"issdm-6","with","stressng-cpu-cdouble","cpu",false,"1",841.024308
"issdm-6","with","stressng-cpu-cfloat","cpu",false,"1",601.996383
"issdm-6","with","stressng-cpu-clongdouble","cpu",false,"1",371.749033
"issdm-6","with","stressng-cpu-correlate","cpu",false,"1",7.037688
"issdm-6","with","stressng-cpu-crc16","cpu",false,"1",35.767459
"issdm-6","with","stressng-cpu-decimal32","cpu",false,"1",266.270734
"issdm-6","with","stressng-cpu-decimal64","cpu",false,"1",323.879708
"issdm-6","with","stressng-cpu-decimal128","cpu",false,"1",52.757936
"issdm-6","with","stressng-cpu-dither","cpu",false,"1",36.352309
"issdm-6","with","stressng-cpu-djb2a","cpu",false,"1",20690.987128
"issdm-6","with","stressng-cpu-double","cpu",false,"1",1356.371044
"issdm-6","with","stressng-cpu-euler","cpu",false,"1",1374618.31195
"issdm-6","with","stressng-cpu-explog","cpu",false,"1",27.66968
"issdm-6","with","stressng-cpu-fft","cpu",false,"1",59.597336
"issdm-6","with","stressng-cpu-fibonacci","cpu",false,"1",3547855.87697
"issdm-6","with","stressng-cpu-float","cpu",false,"1",5751.541961
"issdm-6","with","stressng-cpu-fnv1a","cpu",false,"1",21169.288763
"issdm-6","with","stressng-cpu-gamma","cpu",false,"1",45.970515
"issdm-6","with","stressng-cpu-gcd","cpu",false,"1",236.384445
"issdm-6","with","stressng-cpu-gray","cpu",false,"1",1368.598793
"issdm-6","with","stressng-cpu-hamming","cpu",false,"1",115.242806
"issdm-6","with","stressng-cpu-hanoi","cpu",false,"1",32.04464
"issdm-6","with","stressng-cpu-hyperbolic","cpu",false,"1",193.725319
"issdm-6","with","stressng-cpu-idct","cpu",false,"1",4339.830083
"issdm-6","with","stressng-cpu-int128","cpu",false,"1",1084.884584
"issdm-6","with","stressng-cpu-int64","cpu",false,"1",10552.2634
"issdm-6","with","stressng-cpu-int32","cpu",false,"1",12490.377921
"issdm-6","with","stressng-cpu-int16","cpu",false,"1",12876.595478
"issdm-6","with","stressng-cpu-int8","cpu",false,"1",12505.848063
"issdm-6","with","stressng-cpu-int128float","cpu",false,"1",961.721313
"issdm-6","with","stressng-cpu-int128double","cpu",false,"1",632.681181
"issdm-6","with","stressng-cpu-int128longdouble","cpu",false,"1",149.09047
"issdm-6","with","stressng-cpu-int128decimal32","cpu",false,"1",217.573892
"issdm-6","with","stressng-cpu-int128decimal64","cpu",false,"1",244.384162
"issdm-6","with","stressng-cpu-int128decimal128","cpu",false,"1",48.991838
"issdm-6","with","stressng-cpu-int64float","cpu",false,"1",3860.027627
"issdm-6","with","stressng-cpu-int64double","cpu",false,"1",1274.190066
"issdm-6","with","stressng-cpu-int64longdouble","cpu",false,"1",169.779522
"issdm-6","with","stressng-cpu-int32float","cpu",false,"1",4426.728071
"issdm-6","with","stressng-cpu-int32double","cpu",false,"1",1279.191155
"issdm-6","with","stressng-cpu-int32longdouble","cpu",false,"1",172.393054
"issdm-6","with","stressng-cpu-jenkin","cpu",false,"1",6399.869939
"issdm-6","with","stressng-cpu-jmp","cpu",false,"1",7816.070999
"issdm-6","with","stressng-cpu-ln2","cpu",false,"1",5553.130457
"issdm-6","with","stressng-cpu-longdouble","cpu",false,"1",175.047239
"issdm-6","with","stressng-cpu-loop","cpu",false,"1",5110.419449
"issdm-6","with","stressng-cpu-matrixprod","cpu",false,"1",18.768818
"issdm-6","with","stressng-cpu-nsqrt","cpu",false,"1",34.642843
"issdm-6","with","stressng-cpu-omega","cpu",false,"1",653090.393405
"issdm-6","with","stressng-cpu-parity","cpu",false,"1",4070.267624
"issdm-6","with","stressng-cpu-phi","cpu",false,"1",2682589.83088
"issdm-6","with","stressng-cpu-pi","cpu",false,"1",198380.322306
"issdm-6","with","stressng-cpu-pjw","cpu",false,"1",10913.167649
"issdm-6","with","stressng-cpu-prime","cpu",false,"1",0.808467
"issdm-6","with","stressng-cpu-psi","cpu",false,"1",335461.14185
"issdm-6","with","stressng-cpu-queens","cpu",false,"1",21.379151
"issdm-6","with","stressng-cpu-rand","cpu",false,"1",4578.918777
"issdm-6","with","stressng-cpu-rand48","cpu",false,"1",586.389738
"issdm-6","with","stressng-cpu-rgb","cpu",false,"1",11894.892138
"issdm-6","with","stressng-cpu-sdbm","cpu",false,"1",20543.470448
"issdm-6","with","stressng-cpu-sieve","cpu",false,"1",3.214951
"issdm-6","with","stressng-cpu-sqrt","cpu",false,"1",1459.840283
"issdm-6","with","stressng-cpu-trig","cpu",false,"1",120.246274
"issdm-6","with","stressng-cpu-union","cpu",false,"1",6470.731626
"issdm-6","with","stressng-cpu-zeta","cpu",false,"1",92.853869
"issdm-6","with","stressng-cpu-af-alg","cpu",false,"1",13581.397131
"issdm-6","with","stressng-cpu-bsearch","cpu",false,"1",64.070375
"issdm-6","with","stressng-cpu-cpu","cpu",false,"1",26.551032
"issdm-6","with","stressng-cpu-crypt","cpu",false,"1",27.236776
