benchmark,base_result,machine,limits,class,lower_is_better,repetition,result,normalized
stressng-cpu-int64double,2.651071,issdm-6,with,cpu,False,1,1274.190066,480.63219204615797
stressng-cpu-int32double,2.672973,issdm-6,with,cpu,False,1,1279.191155,478.5649368699198
stressng-cpu-sqrt,5.177912,issdm-6,with,cpu,False,1,1459.840283,281.9360937381709
stressng-cpu-gamma,0.197453,issdm-6,with,cpu,False,1,45.970515,232.817505938122
stressng-cpu-nsqrt,0.171731,issdm-6,with,cpu,False,1,34.642843,201.72737013119357
stressng-cpu-euler,8487.934437,issdm-6,with,cpu,False,1,1374618.31195,161.94968542144503
stressng-cpu-omega,4286.82895,issdm-6,with,cpu,False,1,653090.393405,152.34813448878103
stressng-cpu-matrixprod,0.12742699999999998,issdm-6,with,cpu,False,1,18.768818,147.29074685898598
stressng-cpu-pi,1383.92681,issdm-6,with,cpu,False,1,198380.322306,143.3459637262176
stressng-cpu-hyperbolic,1.811796,issdm-6,with,cpu,False,1,193.725319,106.92446555793256
stressng-cpu-int32float,41.627011,issdm-6,with,cpu,False,1,4426.728071,106.34268386457056
stressng-cpu-psi,3390.279704,issdm-6,with,cpu,False,1,335461.14185,98.947924991029
stressng-cpu-int128decimal64,2.650698,issdm-6,with,cpu,False,1,244.384162,92.19615437141464
stressng-cpu-correlate,0.085737,issdm-6,with,cpu,False,1,7.037688,82.08460757899158
stressng-cpu-int128decimal32,2.650698,issdm-6,with,cpu,False,1,217.573892,82.08173545232238
stressng-cpu-ln2,67.852788,issdm-6,with,cpu,False,1,5553.130457,81.84085902262409
stressng-cpu-longdouble,2.672516,issdm-6,with,cpu,False,1,175.047239,65.49904247533036
stressng-cpu-int32longdouble,2.661037,issdm-6,with,cpu,False,1,172.393054,64.78416271551279
stressng-cpu-trig,1.969468,issdm-6,with,cpu,False,1,120.246274,61.05520577130474
stressng-cpu-int128longdouble,2.650698,issdm-6,with,cpu,False,1,149.09046999999995,56.24573980136553
stressng-memory-matrix,13.803153,issdm-6,with,memory,False,1,693.808536,50.26449652481574
stressng-matrix-prod,1.500338,issdm-6,with,matrix,False,1,74.48736099999998,49.64705353060443
stressng-cpu-cpu,0.554323,issdm-6,with,cpu,False,1,26.551032,47.898124378746694
stressng-matrix-frobenius,200.744889,issdm-6,with,matrix,False,1,8979.483494,44.730819991138105
stressng-cpu-explog,0.63089,issdm-6,with,cpu,False,1,27.66968,43.85816861893515
stressng-cpu-rgb,277.703913,issdm-6,with,cpu,False,1,11894.892138,42.83300155730971
stressng-matrix-mult,406.191314,issdm-6,with,matrix,False,1,16880.336836000002,41.55760168716951
stressng-matrix-div,143.032424,issdm-6,with,matrix,False,1,5908.746771,41.31054068551617
stressng-cpu-idct,105.588415,issdm-6,with,cpu,False,1,4339.830083,41.101384872573384
stressng-cpu-fft,1.588453,issdm-6,with,cpu,False,1,59.597336,37.519105695919244
stressng-cpu-double,41.178266,issdm-6,with,cpu,False,1,1356.371044,32.93900340534009
stressng-matrix-sub,328.474305,issdm-6,with,matrix,False,1,10027.081999,30.52622943825089
stressng-matrix-add,360.380801,issdm-6,with,matrix,False,1,9602.672805,26.645905604166746
stressng-matrix-hadamard,402.791596,issdm-6,with,matrix,False,1,8716.812895000001,21.64099991549973
stressng-cpu-zeta,4.408843,issdm-6,with,cpu,False,1,92.853869,21.060824574610614
stressng-cpu-cdouble,41.269077,issdm-6,with,cpu,False,1,841.024308,20.379043320983406
stressng-cpu-int128decimal128,2.650698,issdm-6,with,cpu,False,1,48.991838,18.482617785956762
stressng-cpu-int128double,39.29967,issdm-6,with,cpu,False,1,632.6811809999998,16.098892967803543
stressng-cpu-cfloat,40.008874,issdm-6,with,cpu,False,1,601.996383,15.046571493114257
stressng-cpu-float,385.042348,issdm-6,with,cpu,False,1,5751.541961,14.937426989199642
stressng-cpu-clongdouble,35.321269,issdm-6,with,cpu,False,1,371.749033,10.524792668122993
stressng-cpu-int64float,371.587889,issdm-6,with,cpu,False,1,3860.027627,10.387926359462165
stressng-cpu-decimal64,44.270772,issdm-6,with,cpu,False,1,323.879708,7.315881186801983
stressng-matrix-trans,1657.178824,issdm-6,with,matrix,False,1,11424.193382,6.893760176361027
stressng-string-strcpy,1956.156411,issdm-6,with,string,False,1,12550.879298,6.4160918970604754
