benchmark,base_result,machine,limits,class,lower_is_better,repetition,result,normalized
stressng-cpu-bsearch,0.225014,issdm-3,quota-1000,cpu,False,1,1.78183,7.91875172212
stressng-cpu-bsearch,0.225014,rackform1,quota-1001,cpu,False,1,1.470349,6.53447785471
stressng-cpu-bsearch,0.225014,issdm-3,without,cpu,False,1,172.72636,767.624947781
stressng-cpu-bsearch,0.225014,rackform1,without,cpu,False,1,341.416866,1517.31388269
stressng-cpu-context,8.245844,issdm-3,quota-1000,memory,False,1,28.732603,3.48449509838
stressng-cpu-context,8.245844,rackform1,quota-1001,memory,False,1,9.217574,1.11784481977
stressng-cpu-context,8.245844,issdm-3,without,memory,False,1,3075.350733,372.957666068
stressng-cpu-context,8.245844,rackform1,without,memory,False,1,2383.464199,289.050362704
stressng-cpu-cpu,0.030279,issdm-3,quota-1000,cpu,False,1,0.074056,2.4457875095
stressng-cpu-cpu,0.030279,rackform1,quota-1001,cpu,False,1,0.056813,1.87631691932
stressng-cpu-cpu,0.030279,issdm-3,without,cpu,False,1,73.083918,2413.68334489
stressng-cpu-cpu,0.030279,rackform1,without,cpu,False,1,161.22083,5324.50972621
stressng-cpu-crypt,0.127898,issdm-3,quota-1000,cpu,False,1,0.701667,5.48614520946
stressng-cpu-crypt,0.127898,rackform1,quota-1001,cpu,False,1,0.521601,4.07825767408
stressng-cpu-crypt,0.127898,issdm-3,without,cpu,False,1,72.500443,566.861428638
stressng-cpu-crypt,0.127898,rackform1,without,cpu,False,1,118.932315,929.899724781
stressng-cpu-full,154.03469,issdm-3,quota-1000,memory,False,1,763.26223,4.95513205499
stressng-cpu-full,154.03469,rackform1,quota-1001,memory,False,1,453.437504,2.94373627136
stressng-cpu-full,154.03469,issdm-3,without,memory,False,1,78311.345184,508.400706256
stressng-cpu-full,154.03469,rackform1,without,memory,False,1,108016.548149,701.248193826
stressng-cpu-hsearch,1.166761,issdm-3,quota-1000,cpu,False,1,11.372461,9.74703559684
stressng-cpu-hsearch,1.166761,rackform1,quota-1001,cpu,False,1,11.06897,9.48692148606
stressng-cpu-hsearch,1.166761,issdm-3,without,cpu,False,1,1247.451733,1069.15789352
stressng-cpu-hsearch,1.166761,rackform1,without,cpu,False,1,2823.038973,2419.55205308
stressng-cpu-longjmp,60.949848,issdm-3,quota-1000,cpu,False,1,477.858214,7.84018713221
stressng-cpu-longjmp,60.949848,rackform1,quota-1001,cpu,False,1,354.636564,5.81849792308
stressng-cpu-longjmp,60.949848,issdm-3,without,cpu,False,1,48871.585272,801.832767032
stressng-cpu-longjmp,60.949848,rackform1,without,cpu,False,1,82287.533551,1350.08595183
stressng-cpu-lsearch,0.032508,issdm-3,quota-1000,cpu,False,1,0.098042,3.01593453919
stressng-cpu-lsearch,0.032508,rackform1,quota-1001,cpu,False,1,0.100002,3.07622739018
stressng-cpu-lsearch,0.032508,issdm-3,without,cpu,False,1,4.301079,132.308324105
stressng-cpu-lsearch,0.032508,rackform1,without,cpu,False,1,5.700907,175.369355236
stressng-cpu-malloc,746.971643,issdm-3,quota-1000,memory,False,1,2508.681656,3.35846973511
stressng-cpu-malloc,746.971643,rackform1,quota-1001,memory,False,1,2565.972549,3.43516728251
stressng-cpu-malloc,746.971643,issdm-3,without,memory,False,1,730217.379922,977.57041618
stressng-cpu-malloc,746.971643,rackform1,without,memory,False,1,1618592.57483,2166.87285253
stressng-cpu-matrix,0.266021,issdm-3,quota-1000,memory,False,1,18.431947,69.2875637638
stressng-cpu-matrix,0.266021,rackform1,quota-1001,memory,False,1,10.486901,39.4213276395
stressng-cpu-matrix,0.266021,issdm-3,without,memory,False,1,1856.219323,6977.71725916
stressng-cpu-matrix,0.266021,rackform1,without,memory,False,1,2410.152877,9060.00983757
stressng-cpu-memcpy,0.25904,issdm-3,quota-1000,memory,False,1,1.56813,6.05362106238
stressng-cpu-memcpy,0.25904,rackform1,quota-1001,memory,False,1,3.689366,14.2424567634
stressng-cpu-memcpy,0.25904,issdm-3,without,memory,False,1,156.215043,603.053748456
stressng-cpu-memcpy,0.25904,rackform1,without,memory,False,1,868.002232,3350.84246448
stressng-cpu-mincore,32.979632,issdm-3,quota-1000,memory,False,1,222.481174,6.74601748134
stressng-cpu-mincore,32.979632,rackform1,quota-1001,memory,False,1,85.300773,2.58646830868
stressng-cpu-mincore,32.979632,issdm-3,without,memory,False,1,23548.861397,714.042576248
stressng-cpu-mincore,32.979632,rackform1,without,memory,False,1,23022.748269,698.089908007
stressng-cpu-null,6216.938724,issdm-3,quota-1000,memory,False,1,41699.696282,6.70743240898
stressng-cpu-null,6216.938724,rackform1,quota-1001,memory,False,1,13771.120761,2.21509674976
stressng-cpu-null,6216.938724,issdm-3,without,memory,False,1,3972626.72772,639.000463747
stressng-cpu-null,6216.938724,rackform1,without,memory,False,1,3683621.78209,592.513766924
stressng-cpu-pipe,755.347054,issdm-3,quota-1000,memory,False,1,2292.966168,3.03564587411
stressng-cpu-pipe,755.347054,rackform1,quota-1001,memory,False,1,1107.501971,1.46621604617
stressng-cpu-pipe,755.347054,issdm-3,without,memory,False,1,522482.60985,691.711984687
stressng-cpu-pipe,755.347054,rackform1,without,memory,False,1,424541.102041,562.04773659
